step	time	T	Ekin	lj	bond_2	angle_4	dihedral_0	lj-14_0	lj-14_1
0	0	3.53887	31849.9	-29219.3	4995.95	4570.41	10321.5	-617.147	-1667.24
1000	1	2.5135	22621.5	-30310.1	6934.56	6320.31	7206.23	-731.811	-2016.94
2000	2	2.47763	22298.6	-30502.3	6922.13	6383.64	7367.99	-750.785	-2119.46
3000	3	2.43077	21877	-30484	6998.81	6132.62	7203.58	-808.327	-1993.07
4000	4	2.49877	22488.9	-30216.1	6859.41	6354.22	7014.09	-689.817	-1975.13
5000	5	2.43843	21945.9	-30470.1	6896.59	6615.69	7103.12	-743.8	-2043.86
6000	6	2.46238	22161.4	-30276.7	6855.87	6275.36	6901.47	-706.274	-2114.78
7000	7	2.48804	22392.4	-30483.2	6892.37	6496.6	6791.23	-832.238	-1992.31
8000	8	2.4304	21873.6	-30573.6	6871.31	6427.75	7228.45	-822.866	-2081.47
9000	9	2.47866	22308	-30468	7030.43	6514.44	7096.67	-792.625	-2134.09
10000	10	2.47094	22238.4	-30545	6654.64	6509.14	6872.36	-776.606	-2073.99
11000	11	2.50445	22540	-30551.4	7040.01	6648.7	7184.52	-787.032	-2133.58
12000	12	2.49162	22424.6	-30496.6	6833.12	6335.28	6986.35	-797.526	-2071
13000	13	2.5059	22553.1	-30491.2	6919.92	6430.13	7056.5	-735.457	-2045.17
14000	14	2.44498	22004.8	-30598	6917.89	6596.02	6989.25	-804.259	-2116.54
15000	15	2.50761	22568.5	-30445.5	6949.33	6361.12	7105.95	-782.934	-2065.04
16000	16	2.51391	22625.2	-30658.6	6827.93	6378.75	6986.08	-809.435	-2180.64
17000	17	2.49704	22473.3	-30467.7	7037.33	6347.58	7249.5	-833.83	-2198.56
18000	18	2.48351	22351.6	-30558.4	6773.81	6453	7089.67	-815.836	-2133.09
19000	19	2.44285	21985.7	-30651.9	6772.37	6414.7	6910.67	-795.68	-2111.5
20000	20	2.48806	22392.6	-30624.5	7003.43	6404.59	6956.77	-830.189	-2093.33
21000	21	2.49576	22461.9	-30659.5	6884.19	6435.83	7275.66	-777.466	-2220.11
22000	22	2.46275	22164.8	-30569.3	6797.33	6343.85	7135.98	-837.223	-2112.35
23000	23	2.43264	21893.8	-30719.9	6985.4	6239.16	7142.3	-787.644	-2050.13
24000	24	2.47503	22275.3	-30663.2	6978.14	6374.17	7234.66	-779.401	-2061.41
25000	25	2.48068	22326.1	-30502.4	6951.96	6423.02	7219.15	-786.583	-2028.49
26000	26	2.48428	22358.6	-30498.2	6627.4	6396.41	7105.5	-807.093	-2086.71
27000	27	2.46997	22229.7	-30648.7	6709.23	6546.26	6901.65	-784.361	-2155.01
28000	28	2.51718	22654.6	-30604.6	6846.98	6226.74	7058.44	-800.09	-2175.23
29000	29	2.47913	22312.2	-30421.7	6830.74	6445.77	6966.63	-818.896	-2146.14
