step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	-639.163	2571.18	4689.5	0	0	4752	4990.45	1305.22	0	0	0
100	0.1	1.59755	21567	0	-1770.57	2838.58	3925.71	0	0	4491.16	4384.2	1333.97	0	0	0
200	0.2	2.09329	28259.5	0	-1543.4	2939.08	4144.11	0	0	4602.13	4524.27	1393.86	0	0	0
300	0.3	2.25051	30381.9	0	-1245.61	3157.79	4325.79	0	0	4610.26	4673.92	1414.42	0	0	0
400	0.4	2.36397	31913.6	0	-1144.29	3236.42	4404.98	0	0	4736.97	4742.18	1412.92	0	0	0
500	0.5	2.43113	32820.2	0	-876.361	3469.46	4439.04	0	0	4851.17	4811.84	1447.84	0	0	0
600	0.6	2.434	32859	0	-956.744	3636.15	4444.85	0	0	4837.27	4808.73	1441.62	0	0	0
700	0.7	2.51291	33924.3	0	-866.493	3738.98	4393.21	0	0	4811.69	4872.18	1437.1	0	0	0
800	0.8	2.44664	33029.7	0	-872.022	3637.57	4507.94	0	0	4960.29	4909.8	1439.58	0	0	0
900	0.9	2.43415	32861.1	0	-840.421	3545.05	4463.63	0	0	5019.96	4963.38	1456.98	0	0	0
1000	1	2.45625	33159.4	0	-779.453	3743.29	4530.83	0	0	4993.9	4959.68	1420.92	0	0	0
1100	1.1	2.48557	33555.2	0	-763.416	3848.96	4448.9	0	0	4895.76	4942.86	1438.21	0	0	0
1200	1.2	2.49512	33684.1	0	-693.436	3905.86	4466.38	0	0	4974.84	4995.59	1445.71	0	0	0
1300	1.3	2.50944	33877.4	0	-577.092	3851.54	4585.48	0	0	4927.6	4989.3	1454.33	0	0	0
1400	1.4	2.50782	33855.6	0	-620.49	3793.22	4640.31	0	0	5008.45	5026	1466.37	0	0	0
1500	1.5	2.50198	33776.7	0	-596.172	3693.76	4513.83	0	0	4898.84	5079.73	1446.13	0	0	0
1600	1.6	2.52415	34076	0	-558.709	3654.34	4432.81	0	0	4984.13	5054.67	1463.38	0	0	0
