step	time	T	Ekin	lj	bond_2	angle_4	dihedral_0	lj-14_0	lj-14_1
0	0	3.53887	31849.9	-29220.6	4995.95	4570.41	10321.5	-617.147	-1667.24
1000	1	2.40712	21664.1	-30334.1	6946.73	6433.64	7408.25	-783.716	-1924.37
2000	2	2.43711	21934	-30216.9	6898.03	6422.37	7289.79	-769.949	-2066.79
3000	3	2.48874	22398.7	-30524.6	6921.33	6535.93	6976.67	-760.386	-1998.55
4000	4	2.42679	21841.1	-30771.8	6960.39	6466.76	7017.81	-844.816	-2069.06
5000	5	2.4777	22299.3	-30493.3	6959.88	6269.02	7103.83	-814.278	-1973.47
6000	6	2.51788	22660.9	-30483	6948.45	6517.31	7272.67	-862.919	-2029.21
7000	7	2.44681	22021.3	-30649.8	6830.79	6413.21	7230.43	-822.432	-2037.45
8000	8	2.4596	22136.4	-30596.1	6896.28	6200.92	6838.7	-813.014	-2146.3
9000	9	2.44868	22038.1	-30468.3	6852.69	6322.97	6999.24	-788.313	-2045.79
10000	10	2.46411	22177	-30570.3	6889.52	6527.36	7157.72	-842.711	-2074.84
11000	11	2.42826	21854.3	-30604.9	6698.65	6318.29	7002.51	-818.853	-2085.79
12000	12	2.50081	22507.3	-30429.6	6816.34	6385.94	7149.83	-774.283	-2105.47
13000	13	2.48663	22379.7	-30603.2	6789.5	6470.12	6975.95	-756.238	-2109.52
14000	14	2.42628	21836.5	-30722.9	6992.92	6384.78	6838.21	-781.857	-2099.85
15000	15	2.39707	21573.6	-30590.2	6830.38	6416.6	7225.27	-734.44	-2206.88
16000	16	2.45043	22053.9	-30541.3	6965.07	6626.6	7173.68	-804.39	-2197.03
17000	17	2.46375	22173.7	-30488.9	6756.99	6373.17	7159.12	-831.663	-2180.9
18000	18	2.49182	22426.3	-30584.1	7068.34	6543.99	7026.53	-818.593	-2213.92
19000	19	2.44507	22005.6	-30516.9	6756.06	6694.02	7469.33	-790.236	-2235.43
20000	20	2.50043	22503.9	-30578.8	7081.77	6393.45	7032.42	-773.221	-2056.85
21000	21	2.49041	22413.7	-30508.3	6951.59	6175.77	7044.31	-796.24	-2126.21
22000	22	2.49896	22490.7	-30515.1	6444.45	6272.53	7058.47	-810.346	-2059.31
23000	23	2.52376	22713.8	-30627.1	6789.82	6438.75	7171.68	-789.978	-2120.92
24000	24	2.46102	22149.2	-30794	6785.8	6348.92	7231.34	-801.813	-2151.55
25000	25	2.50141	22512.7	-30721.9	7043.95	6512.36	7045.81	-858.632	-2154.22
26000	26	2.50989	22589	-30703.6	6908.59	6399.68	7095.5	-794.737	-2157.85
27000	27	2.51169	22605.2	-30505	6896.54	6298.62	7193.85	-817.753	-2067.35
28000	28	2.46035	22143.2	-30281.4	6661.91	6359.45	7310.49	-800.347	-2123.75
29000	29	2.45371	22083.4	-30719.3	6835.42	6112.22	7072.39	-772.647	-2061.54
30000	30	2.50267	22524.1	-30625.2	6858.21	6533.76	6991.04	-755.439	-2173.89
31000	31	2.43178	21886	-30557.5	6931.3	6345.32	7262.9	-778.81	-2119.68
32000	32	2.49224	22430.2	-30589.9	6871.08	6313.72	6917.28	-800.986	-2180.83
33000	33	2.50867	22578	-30580.8	6929.09	6567.32	7341.6	-779.741	-2195.87
34000	34	2.48241	22341.7	-30735.1	6844.97	6415.92	7213.19	-716.758	-2173.74
35000	35	2.41908	21771.7	-30606.8	7055.92	6465.93	7155.31	-878.026	-2226.92
36000	36	2.50004	22500.3	-30556.8	6802.22	6258.71	7328.88	-807.203	-2162.87
37000	37	2.49431	22448.8	-30542.3	6801.46	6527.1	7281.76	-802.638	-2209.9
38000	38	2.49218	22429.6	-30594.8	6691.3	6386	7295.38	-719.274	-2254.16
39000	39	2.48338	22350.4	-30688.4	6852.06	6550.46	6831.86	-811.695	-2057.26
40000	40	2.49809	22482.8	-30568.4	6633.31	6453.26	7230.75	-829.314	-2202.98
41000	41	2.48497	22364.7	-30461.6	6785.68	6363.28	7438.2	-844.611	-2175.23
42000	42	2.46039	22143.5	-30602.1	6890.15	6474.54	6975.03	-746.86	-2210.93
43000	43	2.48917	22402.5	-30642.3	6960.15	6172.64	7038.7	-750.014	-2053.31
44000	44	2.47776	22299.8	-30593.9	6847.68	6516.89	6993.74	-795.98	-2082.15
45000	45	2.44824	22034.2	-30663	6750.84	6655.35	6884.86	-801.66	-2095.87
46000	46	2.5131	22617.9	-30721.1	6701.17	6466.23	7172.06	-803.788	-2109.44
47000	47	2.44786	22030.8	-30688	6955.1	6492.8	6973.99	-785.627	-2117.34
48000	48	2.47416	22267.4	-30676.8	7073.93	6361.64	6964.23	-805.515	-2129.9
49000	49	2.50065	22505.8	-30624.2	6773.81	6701.61	7108.29	-780.704	-2135.17
50000	50	2.46229	22160.6	-30559.6	6618.47	6383.1	7014.26	-772.461	-2113.92
51000	51	2.49799	22481.9	-30711.1	6941.52	6507.32	7068.15	-818.126	-2179.44
52000	52	2.46719	22204.7	-30658.2	6735.7	6431.25	7071.97	-834.598	-2026.78
53000	53	2.51523	22637.1	-30575.8	6700.89	6481.44	7129.14	-783.204	-2187.1
54000	54	2.5037	22533.3	-30603.4	6952.26	6292.8	7071.19	-826.059	-2052.4
55000	55	2.46862	22217.6	-30750.4	7060.42	6374.08	6813.79	-812.409	-2112.91
56000	56	2.45185	22066.6	-30614.5	6979.72	6603.7	6929.69	-808.853	-2128.05
57000	57	2.47735	22296.1	-30744.3	7033.84	6346.58	6912.77	-794.611	-2077.89
58000	58	2.43449	21910.4	-30520.9	6836.6	6387.78	7185.9	-886.674	-2179.5
59000	59	2.45688	22111.9	-30716.1	6821.85	6300.38	6940	-796.434	-2155.32
60000	60	2.48484	22363.5	-30563.5	6899.6	6184.08	7386.62	-793.184	-2169.79
61000	61	2.51124	22601.2	-30637	7004.75	6461.52	6913.38	-786.509	-2214.87
62000	62	2.45185	22066.7	-30732.9	6806.46	6219.73	6960.82	-789.59	-2116.29
63000	63	2.48748	22387.4	-30726.1	7031.15	6171.6	7112.96	-796.393	-2105.58
64000	64	2.48467	22362	-30659.8	6615.68	5980.79	6871.12	-864.897	-2122.88
65000	65	2.49034	22413.1	-30652.1	6976.46	6451.22	6987.98	-849.004	-2200.49
66000	66	2.4935	22441.5	-30820.8	6936.44	6396.2	7213.61	-852.974	-2198.04
67000	67	2.43476	21912.8	-30696.3	6871.18	6683.24	7049.57	-836.489	-2205.38
68000	68	2.45028	22052.5	-30708	6855.77	6255.39	6957.07	-850.083	-2175.71
69000	69	2.43456	21911	-30810	6829.94	6360	7102.33	-808.204	-2149.04
70000	70	2.45883	22129.5	-30693.6	7111.18	6385.22	7200.18	-808.818	-2238.17
71000	71	2.46839	22215.5	-30601.7	6701.78	6294.53	7184.22	-816.51	-2171.04
72000	72	2.47057	22235.1	-30794	6772.78	6432.14	7193.69	-853.16	-2275.86
73000	73	2.43673	21930.6	-30652.2	6942.88	6248.7	7201.01	-840.125	-2181.24
74000	74	2.51276	22614.9	-30706.3	6941.1	6406.38	7265.16	-820.533	-2236.57
75000	75	2.42986	21868.7	-30592.1	6902.08	6343.78	7260.09	-822.696	-2154.79
76000	76	2.51084	22597.5	-30713.2	6972.03	6436.76	6694.82	-816.413	-2270.61
77000	77	2.49275	22434.8	-30616.8	6715.98	6361.91	7225.87	-802.827	-2215.28
78000	78	2.45029	22052.6	-30545.6	6948.97	6509.87	7075.88	-769.504	-2053.5
79000	79	2.44897	22040.7	-30767.2	6925.33	6213.82	7069.25	-738.503	-2124.56
80000	80	2.46727	22205.4	-30823.1	6902.25	6342.29	6944.28	-805.685	-2167.26
81000	81	2.59041	23313.7	-30808.3	6801.61	6253.73	7288.67	-753.92	-2247.57
82000	82	2.46968	22227.1	-30836.1	6733.68	6567.9	6856.5	-854.439	-2204.51
83000	83	2.47599	22283.9	-30630.3	6604.15	6318.37	6775.52	-850.706	-2197.81
84000	84	2.47681	22291.3	-30589.6	6725.64	6396.47	7130.55	-821.147	-2242.02
85000	85	2.51053	22594.8	-30653.6	6667.43	6402.34	7116.27	-797.253	-2244.11
86000	86	2.48272	22344.5	-30731.7	6915.69	6356.73	7102.92	-805.264	-2284.3
87000	87	2.48573	22371.5	-30749.1	6695.46	6193.78	7187.99	-719.719	-2305.84
88000	88	2.49836	22485.2	-30879.7	6821.75	6513.94	7223.11	-794.213	-2224.13
89000	89	2.43982	21958.4	-30631.6	6773.63	6195.66	7077.04	-820.332	-2127.82
90000	90	2.51714	22654.3	-30642.8	6866.53	6385.68	7371.95	-826.729	-2302.65
91000	91	2.45626	22106.3	-30833	6816.42	6428.28	6898.95	-814.449	-2212.09
92000	92	2.47472	22272.4	-30631.7	6875.29	6359.59	7150.01	-827.204	-2195.57
93000	93	2.45529	22097.6	-30789.4	7099.58	6285.98	7105.22	-811.492	-2224.94
94000	94	2.44417	21997.6	-30598.3	6983.87	6467.18	7163.74	-815.881	-2244.2
95000	95	2.47098	22238.8	-30767.8	6929.95	6456.58	6926.25	-815.664	-2139.47
96000	96	2.46379	22174.1	-30719.1	6954.32	6467.76	6759.59	-819.966	-2191.39
97000	97	2.51119	22600.7	-30723.2	6787.94	6293.35	7015.46	-878.9	-2209.74
98000	98	2.45688	22111.9	-30628.2	6859.23	6397.05	7007.4	-837.372	-2161.04
99000	99	2.4791	22311.9	-30679.9	6761.97	6419.38	6973.34	-863.782	-2218.17
100000	100	2.4719	22247.1	-30714.7	6985.56	6467.25	7084.95	-860.881	-2250.72
101000	101	2.47755	22297.9	-30640.2	6781.91	6324.16	7123.33	-834.757	-2245.7
102000	102	2.49502	22455.2	-30656.5	6699.63	6390.49	7000.58	-789.974	-2181.77
103000	103	2.46132	22151.9	-30671.1	6818.34	6402.37	6947.91	-863.82	-2205.99
104000	104	2.42922	21863	-30762.1	6786.96	6692.6	7044.89	-852.331	-2225.14
105000	105	2.45869	22128.2	-30700.2	6687.56	6346.52	6945.42	-818.969	-2196.89
106000	106	2.44578	22012	-30687.3	6856.51	6267.92	7151.39	-880.227	-2186.21
107000	107	2.50648	22558.3	-30533.3	6861.34	6361.29	7297.51	-881.818	-2227.17
108000	108	2.50725	22565.2	-30657.7	6927.1	6490.01	7072.46	-927.857	-2090.36
109000	109	2.4833	22349.7	-30645.5	6893.68	6362.84	6974.56	-846.899	-2180.4
110000	110	2.49891	22490.2	-30639.9	6664.51	6403.03	6995.87	-882.501	-2178.5
111000	111	2.44853	22036.8	-30563.3	6887.29	6486.91	7114.81	-867.376	-2249.41
112000	112	2.48604	22374.3	-30748.9	6651.42	6358.49	6980.6	-769.803	-2299.31
113000	113	2.46928	22223.5	-30711.7	6815.92	6206.4	7128.55	-830.916	-2198.94
114000	114	2.45842	22125.7	-30571.5	6976.47	6328.13	7167.69	-857.722	-2192.74
115000	115	2.44405	21996.5	-30435.5	6910.4	6297.65	7062.76	-844.179	-2154.44
116000	116	2.47663	22289.6	-30784.4	6984.08	6314.42	7202.66	-864.956	-2137.87
117000	117	2.45706	22113.6	-30755.8	6880.69	6367.8	7204.47	-872.014	-2141.84
118000	118	2.44667	22020	-30792.2	6524.09	6279.67	7296.27	-835.448	-2172.4
119000	119	2.50247	22522.2	-30780.9	6887.09	6415.12	6933.04	-837.81	-2148.34
120000	120	2.47045	22234	-30808.3	7051.05	6363.71	7058.32	-856.015	-2213.33
121000	121	2.46914	22222.3	-30619.4	6667.05	6228.11	7191.44	-852.508	-2120.15
122000	122	2.53386	22804.7	-30676.1	6964.92	6362.59	7115.26	-786.713	-2060.98
123000	123	2.42726	21845.3	-30794.6	6927.91	6575.56	7252.6	-838.578	-2078.74
124000	124	2.44626	22016.3	-30602.3	6640.37	6284.4	7175.78	-766.427	-2116.17
125000	125	2.47511	22276	-30640	6700.38	6111.8	6964.54	-827.416	-2091.57
126000	126	2.44196	21977.7	-30595.3	6660.94	6392.98	7087.7	-838.257	-2135.57
127000	127	2.50907	22581.7	-30551.9	6987.96	6259.47	7092.53	-848.837	-2159.97
128000	128	2.46755	22207.9	-30578.7	6843.87	6294.95	7147.11	-849.85	-2109.85
129000	129	2.43869	21948.2	-30689.9	6702.31	6607.64	7016.74	-812.12	-2112.07
130000	130	2.47896	22310.7	-30732.5	6784.47	6443.56	7145.65	-813.445	-2270.26
131000	131	2.42636	21837.3	-30851.7	6860.87	6385.89	6985.07	-862.513	-2187.25
132000	132	2.47409	22266.8	-30683.4	7063.92	6154.57	6886.22	-834.38	-2119
133000	133	2.51007	22590.6	-30620.6	6706.86	6570.97	7063.55	-881.115	-2192.54
134000	134	2.49564	22460.7	-30786.1	6819.13	6476.51	7095.08	-885.774	-2212.05
135000	135	2.44068	21966.1	-30621.8	6891.85	6236.95	7111.78	-834.102	-2193.9
136000	136	2.49327	22439.5	-30534.9	7042.09	6542.79	6910.47	-805.6	-2213.01
137000	137	2.47292	22256.3	-30437.3	6941.12	6522.34	6875.24	-810.293	-2214.01
138000	138	2.48991	22409.2	-30539.9	6760.71	6328.26	6920.26	-850.571	-2088.09
139000	139	2.47919	22312.8	-30686.8	6910.84	6434.84	7089.64	-875.253	-2151.63
