step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	-20033.6	2571.18	7828.37	0	0	1060.56	4990.45	1455.39	0	0	0
100	0.1	1.81391	24487.8	0	-21090	2896.47	3169.12	0	0	1054.99	4371.38	1458.06	0	0	0
200	0.2	2.21102	29848.8	0	-21211	2963.41	2857.74	0	0	1186.84	4495.17	1418.05	0	0	0
300	0.3	2.40064	32408.6	0	-21373.3	3060.36	2649.59	0	0	1267.23	4429.26	1378.44	0	0	0
400	0.4	2.41958	32664.4	0	-21314.1	3243.15	2755.25	0	0	1316.47	4548.8	1390.52	0	0	0
500	0.5	2.5068	33841.8	0	-21367.3	3606.79	2758.78	0	0	1356.84	4639.01	1394.34	0	0	0
600	0.6	2.50613	33832.8	0	-21461.2	3637.8	2685.86	0	0	1356.62	4683.23	1407.75	0	0	0
700	0.7	2.51217	33914.3	0	-21407.4	3673.48	2597.08	0	0	1375.69	4755.63	1379.33	0	0	0
800	0.8	2.51197	33911.5	0	-21680.4	3701.14	2614.19	0	0	1328.73	4860.99	1394.65	0	0	0
900	0.9	2.49548	33689	0	-21602.7	3686.89	2576.99	0	0	1345.93	4733.79	1414.58	0	0	0
1000	1	2.46939	33336.8	0	-21643.8	3754.15	2604.72	0	0	1321.61	4758.9	1407.05	0	0	0
1100	1.1	2.52835	34132.8	0	-21982	3695.45	2589.96	0	0	1345.87	4636.39	1387.51	0	0	0
1200	1.2	2.46476	33274.3	0	-21789.4	3709.69	2533.1	0	0	1338.89	4651.83	1374.56	0	0	0
1300	1.3	2.4968	33706.8	0	-21934.5	3809.74	2662.84	0	0	1340.58	4646.93	1403.03	0	0	0
1400	1.4	2.492	33642	0	-22244.1	3619.05	2656.28	0	0	1319.76	4714.03	1392.95	0	0	0
1500	1.5	2.44773	33044.3	0	-21927	3712.64	2591.45	0	0	1354.75	4712.42	1406.97	0	0	0
1600	1.6	2.50387	33802.2	0	-21996.8	3807.91	2525.54	0	0	1346.55	4556.57	1422.74	0	0	0
1700	1.7	2.49177	33638.9	0	-22181.5	3773.09	2569.61	0	0	1350.82	4467.49	1382.06	0	0	0
1800	1.8	2.47735	33444.2	0	-22321.3	3630.7	2526.13	0	0	1336.72	4528.8	1394.79	0	0	0
1900	1.9	2.47021	33347.8	0	-22291.6	3744.21	2635.9	0	0	1343.67	4591.86	1366.36	0	0	0
2000	2	2.51103	33899	0	-22594	3777.83	2719.33	0	0	1330.72	4529.08	1390.2	0	0	0
2100	2.1	2.50712	33846.1	0	-22455.4	3741.38	2628.59	0	0	1352.26	4628	1369.18	0	0	0
2200	2.2	2.5235	34067.2	0	-22335.8	3836.42	2614.09	0	0	1312.67	4686.07	1390.33	0	0	0
2300	2.3	2.51067	33894	0	-22530	3723.79	2666.13	0	0	1345.36	4690.47	1382.5	0	0	0
2400	2.4	2.50313	33792.2	0	-22173.5	3663.74	2575.59	0	0	1351.24	4703.19	1368.2	0	0	0
2500	2.5	2.51106	33899.4	0	-22491.1	3651.49	2673.7	0	0	1363.67	4682.22	1409.23	0	0	0
