step	time	T	T-cg	T-at	Ekin	res	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285_cross	angle_286_cross	angle_287_cross	angle_288_cross	angle_289_cross	angle_290_cross	angle_291_cross	angle_292_cross	angle_293_cross	bond_124	bond_124_cross	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131_cross	bond_132_cross	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_4_cross	dihedral_65	dihedral_65_cross	dihedral_67	dihedral_8_cross	lj	lj-14_0	lj-14_0_cross	lj-14_2	lj-14_3	lj-14_8_cross	lj-14_9_cross	tab-cg
0	0	0.495242	2.47614	0.275142	11142.9	0	75.7354	385.888	4027.14	671.942	5.17798	6.10321	3857.95	1398.34	1151.5	721.68	7992.56	38.3002	7862.56	11231.8	1798.26	5.93706	3602.87	46.6355	138.2	3062.62	98.0175	5450.39	1441.84	1133.15	68.3758	3446.07	3403.42	1276.04	216.319	632.566	0.0531647	410.057	1126.91	0	0	0	0	0	0	0	0	0	2466.08	0	2496.57	1518.93	5207.05	47.8423	12.2928	15.8742	6459.17	0	39.6494	0	5730.95	2364.73	3026.19	3343.05	3936.3	0	11601.3	0	735.745	0	0	3337.05	0	-332.19	517.426	0	0	-18135.3
0	0	0.495242	2.47614	0.275142	11142.9	0	75.7354	385.888	4027.14	671.942	5.17798	6.10321	3857.95	1398.34	1151.5	721.68	7992.56	38.3002	7862.56	11231.8	1798.26	5.93706	3602.87	46.6355	138.2	3062.62	98.0175	5450.39	1441.84	1133.15	68.3758	3446.07	3403.42	1276.04	216.319	632.566	0.0531647	410.057	1126.91	0	0	0	0	0	0	0	0	0	2466.08	0	2496.57	1518.93	5207.05	47.8423	12.2928	15.8742	6459.17	0	39.6494	0	5730.95	2364.73	3026.19	3343.05	3936.3	0	11601.3	0	735.745	0	0	3337.05	0	-332.19	517.426	0	0	-18135.3
500	0.5	2.47192	2.47614	2.47145	55618.2	0	791.392	746.849	384.734	531.025	481.552	521.451	374.43	603.233	519.449	481.191	558.88	804.787	726.239	420.577	552.535	486.766	560.128	429.835	605.317	519.148	540.441	553.473	661.131	635.007	416.67	598.221	446.188	464.322	405.905	602.93	510.618	506.867	528.385	0	0	0	0	0	0	0	0	0	1804.57	0	1964.95	1849.65	1974.44	4132.35	1490.66	661.862	3724.19	0	2170.58	0	1433.75	717.654	4352.11	1154.69	2816.08	0	1858.98	0	590.793	0	0	5774.3	0	-338.189	515.892	0	0	-19468.4
1000	1	2.47735	2.47614	2.47748	55740.3	0	674.77	716.966	402.326	587.429	471.816	476.964	396.553	634.199	540.864	522.58	501.748	761.511	672.422	382.366	600.781	469.438	506.768	412.935	637.451	523.694	491.68	547.026	697.857	664.904	426.001	568.67	490.237	456.713	390.192	576.955	545.068	552.922	512.477	0	0	0	0	0	0	0	0	0	1943.99	0	1973.29	1880.67	1819.28	3960.73	1463.8	614.351	3351.83	0	2047.2	0	1310.74	691.912	4362.3	1134.64	2898.91	0	1706.79	0	577.059	0	0	5847.91	0	-338.047	522.896	0	0	-20302.4
1500	1.5	2.5015	2.47614	2.50432	56283.8	0	806.839	717.029	360.218	624.148	524.714	441.812	350.109	582.06	484.662	497.893	498.274	825.692	655.911	385.241	625.325	467.518	454.817	441.044	607.263	506.417	490.652	543.978	727.416	577.738	404.586	592.236	470.716	499.06	379.916	633.619	491.82	515.619	541.509	0	0	0	0	0	0	0	0	0	1944.84	0	1992.73	2004.35	1963.83	3965.72	1421.66	726.952	3211.83	0	2142.1	0	1388.09	745.323	4325.18	1137.7	3042.97	0	1769.96	0	584.519	0	0	5876.53	0	-338.005	512.333	0	0	-20873.3
2000	2	2.46777	2.47614	2.46684	55524.8	0	742.772	818.189	407.41	587.977	462.327	448.648	382.488	607.007	513.726	504.021	516.844	693.814	683.19	388.139	550.225	487.39	467.339	345.924	610.409	547.531	478.476	491.258	644.118	678.458	379.576	631.778	483.381	458.721	343.724	594.506	515.346	529.583	509.959	0	0	0	0	0	0	0	0	0	1810.48	0	2070.27	2004.44	1777.89	4081.9	1433.45	628.376	3273.33	0	1885.25	0	1361.63	752.415	4368.75	1081.45	2822.64	0	1667.9	0	547.739	0	0	5904.34	0	-338.428	491.626	0	0	-21313.5
2500	2.5	2.46674	2.47614	2.46569	55501.6	0	752.487	763.693	368.75	595.089	436.908	450.251	347.98	612.394	488.408	570.186	516.731	769.984	669.437	412.161	594.517	467.113	583.277	394.695	585.484	542.458	488.682	493.245	684.034	637.049	409.849	540.645	495.663	482.055	340.938	714.674	444.545	515.314	483.989	0	0	0	0	0	0	0	0	0	1828.52	0	2039.8	1977.23	1872.23	4101.63	1397.92	752.49	3158.09	0	1981.96	0	1286.27	726.192	4329.99	1090.51	2908.93	0	1797.3	0	559.314	0	0	5800.44	0	-338.228	501.744	0	0	-21628.3
3000	3	2.46835	2.47614	2.46748	55537.8	0	738.41	763.917	401.067	557.413	489.528	470.985	401.984	554.804	561.604	515.448	497.465	702.704	622.516	400.072	559.041	457.889	504.642	406.039	681.113	449.047	552.565	459.173	691.506	645.651	351.96	609.831	464.765	517.366	349.846	630.427	441.578	511.352	513.279	0	0	0	0	0	0	0	0	0	1890.06	0	1937.21	1879.21	1917.64	3914.81	1390.4	624.641	3152.58	0	2161.22	0	1232.74	755.407	4352.48	1138.84	3036.2	0	1698.98	0	573.587	0	0	5774.77	0	-338.006	497.152	0	0	-21911.2
3500	3.5	2.46043	2.47614	2.45868	55359.6	0	734.465	765.951	426.125	565.276	434.965	447.491	386.558	633.026	501.365	501.062	512.566	744.475	693.93	388.742	549.135	499.3	495.255	436.467	548.826	511.022	504.014	520.156	678.465	586.618	425.715	540.704	476.36	408.681	374.406	639.647	520.006	556.505	489.696	0	0	0	0	0	0	0	0	0	1859.2	0	2004.74	1993.22	2021.13	3984.52	1406	745.263	3180.45	0	2151.51	0	1194.35	786.598	4357.96	1197.99	2899.42	0	1778.34	0	605.568	0	0	5789.8	0	-338.336	494.952	0	0	-22023.1
4000	4	2.46226	2.47614	2.46072	55400.8	0	760.427	753.45	424.251	575.103	501.11	442.513	385.087	598.423	430.79	523.031	517.721	705.736	665.878	375.563	560.241	499.276	500.174	380.478	627.358	544.277	576.325	512.128	692.522	647.178	383.301	573.703	518.444	459.506	379.379	602.696	463.327	499.182	493.906	0	0	0	0	0	0	0	0	0	1903.47	0	2000.75	1964.69	1840.31	4209.12	1431.89	639.294	3064.09	0	2064.28	0	1132.68	799.372	4348.47	1200.39	3061.87	0	1695.75	0	590.151	0	0	5803.52	0	-338.215	503.242	0	0	-22296.6
4500	4.5	2.47821	2.47614	2.47844	55759.8	0	692.668	829.277	419.859	546.066	456.79	485.346	395.691	690.142	560.018	522.065	519.416	757.528	620.311	383.384	570.89	515.854	465.823	438.84	587.941	486.154	511.893	511.795	716.742	651.436	410.543	553.941	493.123	413.963	392.122	545.196	487.506	546.078	491.311	0	0	0	0	0	0	0	0	0	1988.82	0	1963.06	2003.24	1844.45	4060.84	1532.02	790.556	3037.25	0	2161.95	0	1123.21	839.175	4307.5	1211.22	3100.45	0	1852.08	0	599.979	0	0	5965.18	0	-338.052	513.739	0	0	-22498.2
5000	5	2.48676	2.47614	2.48794	55952	0	777.639	713.774	397.518	646.781	463.962	477.192	360.783	666.661	528.891	531.047	510.74	785.632	737.372	397.802	543.893	488.472	435.484	384.723	678.441	494.459	515.651	488.788	663.785	671.753	389.635	580.317	486.839	490.79	377.217	572.688	485.342	505.196	502.139	0	0	0	0	0	0	0	0	0	2055.56	0	1930.63	1982.1	2082.53	3977.33	1253.12	670.881	3220.58	0	2160.49	0	959.423	831.02	4347.82	1135.56	2927.98	0	1815.45	0	604.903	0	0	5793.9	0	-337.904	496.747	0	0	-22593.6
5500	5.5	2.47421	2.47614	2.47399	55669.6	0	767.818	662.535	361.647	539.209	476.232	429.792	381.503	632.076	543.774	449.097	510.661	805.508	641.968	360.865	611.044	475.944	454.727	422.033	632.529	493.902	492.047	531.286	682.532	684.826	434.01	516.625	507.796	476.926	422.668	656.057	523.359	492.431	480.654	0	0	0	0	0	0	0	0	0	1956.13	0	2031.84	2044.45	1938.79	4089.77	1470.01	747.83	3163.37	0	2077.03	0	997.921	888.301	4338.47	1142.2	3118.46	0	1763.79	0	573.299	0	0	5828.72	0	-338.173	512.936	0	0	-22757.9
6000	6	2.48753	2.47614	2.4888	55969.5	0	772.699	754.672	397.233	543.851	547.3	532.51	399.115	628.085	502.754	495.624	530.435	726.925	615.322	399.661	539.017	467.122	494.035	431.701	639.937	500.248	496.951	492.199	735.259	616.541	382.538	550.468	432.117	516.4	396.952	627.367	476.341	515.115	494.434	0	0	0	0	0	0	0	0	0	1994.77	0	2087.32	1926.18	1816.12	3968.79	1447.11	666.008	3050.17	0	1955.63	0	894.011	846.597	4338.38	1196.45	3008.19	0	1699.43	0	593.701	0	0	5833.38	0	-337.907	510.446	0	0	-22851.3
