step	time	T	Ekin	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	bond_124	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131	bond_54	coulomb	coulomb14	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_65	dihedral_67	dihedral_8	lj	lj-14_0	lj-14_1	lj-14_3	lj-14_4	lj-14_5
0	0	2.10366	85198.3	545.28	1159.88	479.41	1091.89	265.888	275.164	4299.91	1547.76	938.494	1941.47	1041.96	986.58	1028.98	539.591	4369.32	1414.2	278.392	988.195	2060.21	1076.44	1068.13	902.293	3116.99	1383.24	1653.01	1059.74	941.056	953.602	1199.82	1106.81	1050.69	1121.07	829.206	1317.86	1030.5	995.742	1036.46	1232.77	1449.56	1094.67	1084.7	990.733	6224.24	1362.97	3789.56	4001.25	3716.94	144.617	76.2223	37.9782	86.9718	768501	-2.55065e+06	-7357.46	5106.92	4861	4340.45	7725.16	8533.83	6243.44	60149	-74719	34914	6916.39	-746.57	1281.75	247.587
500	0.5	6.67119	270183	1401.04	2493.81	1424.98	2697.77	828.058	828.093	5090.28	3171.12	1880.94	3603.82	2823.23	2705.45	2381.13	1463.28	5229.35	2759.1	709.324	2014.18	3650.87	2562.86	2679.44	1932.08	3963.93	2870.7	3292.66	2646.1	2862.83	2101.7	3480.67	2718.34	2789.58	2834.6	2132.41	3368.55	2950.78	2499.75	2914.57	2557.15	3486.82	2842.52	2815.02	2931.83	15564.3	3002.01	9946.53	9958.08	9852.06	21528.3	8310.42	4205.93	11093.4	790155	-2.56327e+06	-2081.53	5082.65	4932.67	8575.86	16916.9	20364.8	5990.17	63845	-66652.5	38344.7	8064.46	-567.001	1431.05	593.341
1000	1	6.67852	270480	1494.98	2628.39	1505.27	2736.54	822.674	870.425	5208.07	3502.99	1931.94	3495.86	2753.4	2853.8	2598.12	1583.09	4918.86	3008.95	745.947	2243.65	3542.34	2807.24	2626.5	1829.9	3965.82	3075.95	3284.33	2644.88	2715.96	2271.43	3338.13	2488.46	2849.71	2861.34	2026.14	3457.72	2673.58	2900.7	2952.25	2597.24	3628.4	2930.21	2808.94	3004.42	16103.5	3215.43	9948.6	9619.55	10048	21216.4	8221.17	4385.09	11503.2	792415	-2.56517e+06	-2176.88	5216.27	4867.13	8924.1	16877.9	21161.7	6035.42	64166.5	-66816.3	38376.9	8165.48	-561.955	1442.51	596.522
1500	1.5	6.65152	269387	1457.67	2743.57	1562.71	2824.1	831.85	884.677	5425.06	3447.53	2002.89	3293.29	2693.56	2683.86	2566.36	1499.97	5151.36	2874.78	785.417	2020.97	3337.63	2680.91	2671.48	1900.12	3859	2769.88	3775.83	2829.63	2739.63	2238.49	3197.01	2681.36	2908	2886.25	2209.44	3061.11	2762.92	2809.65	2995.73	2490.06	3584.26	2669.21	2563.75	2848.93	16388.6	3199.1	10338.7	10142.7	10105.8	21124.7	8737.45	4301.87	11433.4	794472	-2.56775e+06	-2121.89	5207.47	4904.41	9523.93	17742.3	20975	5870.55	63959.4	-66731.1	38618.8	8235.64	-532.45	1444.93	617.242
2000	2	6.64202	269002	1469.75	2671.13	1450.26	2608.09	734.627	812.678	5174.97	3173.5	2003.4	3490.1	2644.13	2496.48	2544.79	1541.1	4987.19	2865.39	763.414	2194.38	3690	2811.75	2701.98	1970.22	3652.69	2702.52	3649.15	2685.9	2803.6	2163.67	3190.96	2500.04	2817.32	2944.88	2070.71	3098.19	2821.56	2627.53	2770.64	2206.91	3293.06	2759.15	2871.17	3015.73	16382.4	3269.27	9879.6	10690.7	10165.1	22143.5	7677.77	4200.29	11192.9	793396	-2.56486e+06	-1687.4	5098.61	5024.73	9634.39	17391.8	20751.4	5823.21	64086	-66903.2	38440.6	8144.91	-563.697	1465.72	645.702
2500	2.5	6.72722	272452	1485.33	2773.73	1445.95	2947.72	798.504	878.273	5050.47	3481.35	2023.28	3845.74	2589.09	2646.6	2469.64	1494.21	4714.39	2898.59	714.243	2111.88	3602.5	2889.42	2751.97	2000.31	3642.21	2804.14	3681.86	2540.68	2646.39	2195.15	3352.46	2567.04	2725.07	3075.96	2286.29	3465.24	2829.87	2721.53	2823.07	2415.06	3416.99	2626.16	2850.49	2829.79	16173.6	3357.11	10450.9	10206.7	9892.43	21706.1	7879.31	4311.01	11241.2	794574	-2.56595e+06	-1469.6	5149.65	5012.83	9635.5	17244.6	20690.7	5851.93	64324.4	-67011.3	38392.3	8290.03	-545.223	1436.14	616.961
3000	3	6.64471	269111	1504.03	2724	1406.71	2790.01	821.89	808.743	5320.47	3669.05	1928.1	3819.37	2606.41	2680.35	2690.06	1476.77	4762.68	2865.67	717.107	2077.74	3878.33	2765.81	2663.68	2067.28	3963.72	3084.04	3525.75	2682.82	2821.39	2215.07	3072.3	2591.15	2966.01	2900.28	2218.48	3197.68	2805.02	2688.57	2831.82	2520.74	3583.67	2900.67	2727.97	2736.48	16485.5	3527.94	9912.21	10053.3	10044.6	21667.8	7749.94	3848.92	11508.3	795080	-2.56471e+06	-1441.4	5122.92	4958.17	9243.32	17162	20883.8	5927.76	63990.6	-68647.1	38195.7	8002.13	-566.229	1412.64	602.564
3500	3.5	6.67875	270490	1357.54	2660.65	1443.17	2966.21	801.752	836.271	5230.41	3349.7	2024.66	3762.39	2571	3019.58	2579.9	1492.79	5069.63	2910.46	764.317	2094.37	3425.1	2672.38	2695.31	1838.77	3691.05	2921.57	3697.02	2862.01	2580.96	1983.06	3158.84	2985.44	2742.44	2950.72	2083.97	3509.6	2650.54	2556.1	2929.65	2516.79	3419.38	2731.98	2785.01	2799.64	15771.4	3338.57	10010.4	9964.9	10401.1	21568.3	8536.99	4401.54	11111.5	793656	-2.56491e+06	-1367.52	5085.71	4977.78	9077.6	17610	20689.9	5916.39	63919.8	-66243.4	38501.2	8243.9	-545.673	1379.92	676.151
4000	4	6.61402	267868	1571.48	2701.61	1505.22	2512.88	808.564	870.586	5250.44	3581.56	1809.23	3656.89	2705.3	2615.73	2442.19	1611.57	4883.92	3021.56	816.526	2050.47	3698.3	2917.25	2732	2177.5	3993.9	2943.07	3580.02	2553.49	2539.69	2208.9	3464.95	2494.47	2914.55	2790.26	2304.12	3116.18	2687.52	2313.67	3300.3	2533.45	3355.45	2824.22	2668.16	2871.57	16380.2	3207.04	10394	10722.3	10333.3	21509.3	7955.51	4140.38	10766	794610	-2.56551e+06	-954.943	5116.24	5050.42	9422.09	17532.8	21433.8	5887.92	64204.8	-67091.3	38947.6	8223.17	-546.321	1290.62	700.639
4500	4.5	6.65848	269668	1464.88	2635.18	1551.89	2870.89	842.469	854.333	4974.04	3460.88	2116.55	3593.46	2859.01	2619.24	2620.22	1469.83	4568.12	2801.04	767.659	2035.05	3834.16	2881.06	2811.6	2052.52	4107.4	3188.82	3582.2	2857.29	2602.9	2221.1	3163.23	2827.9	2617.63	2968.31	2063.69	3194.32	2562.55	2835.47	2750.61	2427.08	3334.16	2641.55	2887.87	2727.66	16248.5	3357.54	9761.98	9929.11	10343.3	21433.7	8298.36	3946.91	11499.7	793050	-2.56425e+06	-1248.67	5097.99	5085.86	9208.69	17423	21387.3	5799.18	64199.8	-66371.6	38517.8	8171.66	-556.2	1350.74	648.524
