step	time	T	Ekin	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	bond_124	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_65	dihedral_67	dihedral_8	lj	lj-14_0	lj-14_1	lj-14_3	lj-14_4	lj-14_5
0	0	2.10366	85198.3	545.28	1159.88	479.41	1091.89	265.888	275.164	4299.91	1547.76	938.494	1941.47	1041.96	986.58	1028.98	539.591	4369.32	1414.2	278.392	988.195	2060.21	1076.44	1068.13	902.293	3116.99	1383.24	1653.01	1059.74	941.056	953.602	1199.82	1106.81	1050.69	1121.07	829.206	1317.86	1030.5	995.742	1036.46	1232.77	1449.56	1094.67	1084.7	990.733	6224.24	1362.97	3789.56	4001.25	3716.94	144.617	76.2223	37.9782	86.9718	768501	-7357.46	5106.92	4861	4340.45	7725.16	8533.83	6243.44	60149	-74719	34914	6916.39	-746.57	1281.75	247.587
500	0.5	2.48116	100487	1481.55	917.423	1395.51	818.202	629.209	586.009	4060.03	709.629	805.261	4952.8	1320.86	1154.96	886.139	1690.16	4245.23	741.456	846.192	1039.9	4358.66	1053.34	1175.27	907.875	2700.4	776.125	3851.71	1028.77	1125.97	1640.62	1327.67	1084.63	1066.98	1088.35	1468.4	1315.2	1116.38	1087.59	1010.73	1821.92	1361.37	1063.77	1143.57	1138.41	16502.1	3627.78	10467.8	6416.22	4911.05	8027.84	3476.13	1891.37	5488.8	693957	-5328.21	4560.61	4930.96	4696.28	8235.9	8348.68	6076.47	59818.8	-73374.8	26334.8	4968.12	-1162.25	301.413	220.029
1000	1	2.47688	100314	1518.56	888.615	1397.3	940.497	599.439	598.252	3972.05	800.591	884.711	5091.4	1337.07	1202.11	804.135	1656.69	4262.03	797.389	843.958	1005.36	4260	973.583	1136.7	875.582	2838.92	748.187	3957.95	1084.72	1066.68	1623.51	1287.65	1142.78	1105.53	1151.23	1377.82	1247.45	1126.57	1102.94	1169.13	1789.91	1232.9	1109.22	1203.81	1111.79	16151.2	3385.73	10612.4	6098.58	5055.61	8057.38	3469.71	2065.77	5173.64	693366	-4919.54	4475.76	4903.26	4721.1	8497.87	7987.86	6146.3	59888.9	-73323.4	26480.1	5044.4	-1160.59	316.399	208.343
1500	1.5	2.49278	100958	1448.91	899.64	1427.92	869.818	632.45	597.681	3864.35	666.612	878.097	5119.6	1259.36	1025.74	873.27	1650.74	4233.62	747.297	828.673	1048.31	4276.03	1046.45	1105.69	823.886	2788.87	786.5	3965.07	1115.45	1150.09	1493.42	1248.22	1036.41	1149.42	1050.71	1382.78	1355.49	934.114	1052.92	1077.77	1691.23	1409.47	1193.76	1185.38	1113.48	16215.5	3671.55	10773.6	6288.81	5065.83	7971.01	3423.78	1947.44	5868.43	693020	-5000.27	4429.04	4873.69	4586.45	8500.48	8339.32	6182.02	59829.4	-73712.6	26452.6	5036.28	-1160.9	322.964	216.08
2000	2	2.48514	100648	1416.72	908.522	1389	862.648	639.048	554.056	3855.88	747.365	879.776	5101.3	1331.48	1105.57	782.926	1616.69	4313.7	820.02	787.559	1004.98	4382.1	1070.69	1085.77	793.703	2753.45	727.148	4053.3	1117.73	1087.04	1456.41	1387.05	1071.06	1102.96	1073.1	1384.02	1350.32	1058.23	1032.93	1135.78	1872.47	1325.74	1134.63	1177.26	1206.86	16405.2	3287.36	10817.5	6243.76	5397.58	7946.43	3299.7	1833.89	5475.01	692513	-4942.67	4363.53	4888.06	4813.48	8588.6	8186.66	6129.9	59908.6	-73836.5	26483.2	5056.78	-1159.98	295.923	228.554
2500	2.5	2.4591	99593.6	1448.57	917.049	1457.6	917.13	653.582	601.544	4218.8	763.061	833.233	4826	1252.49	1094.17	893.108	1736.83	4316.22	845.828	823.135	1003.05	4187.25	986.445	1167.08	807.374	2897.7	746.142	3886.89	1098.02	1143.43	1618.63	1301.19	1152.08	966.084	1161.52	1400.78	1261.4	1073.91	1020.97	1182.43	1750.73	1191.02	1127.96	1107.79	1186.26	16060.3	3540.44	10910.8	6349.38	5067.69	8067.7	3252.25	1967.71	5739.44	692349	-4591.83	4362.64	4917.96	4605.17	8304.05	8254.98	6156.92	59850.3	-74007	26450.8	5047.47	-1162.67	324.467	218.804
3000	3	2.48011	100444	1494.21	1007.9	1377.67	891.052	590.345	609.916	4173.64	773.722	828.518	4996.9	1343.94	972.768	869.424	1622.19	4267.33	862.539	843.612	1087.72	4310.46	1129.66	1070.01	900.665	2753.28	757.516	3921.74	1054.98	1169.39	1637.34	1451.91	1126.65	1015.95	1206.99	1330.2	1394.44	1071.66	1105.08	1153.42	1821.43	1415.1	1097.31	1102.63	1169.76	16440.7	3525.29	10249.6	6065.33	5016.33	8197.8	3550.26	1897.48	5386.52	691979	-4713.24	4338.61	4959.91	4751.18	8337.61	8021.74	6148.58	59777.8	-73552	26336.7	5197.67	-1161.11	339.407	231.823
3500	3.5	2.47859	100383	1471.97	919.6	1363.29	896.519	626.931	564.479	4096.27	739.208	864.916	5212.46	1203.81	992.58	899.246	1713.41	4393.27	800.505	835.679	1070.52	4266.21	1096.51	1164.54	880.52	2842.4	781.553	3767.03	1075.28	1228.46	1692.14	1362.13	1183.08	1160.68	1110.38	1486.91	1151.3	1116.35	1036.17	1032.31	1855.43	1293.84	1152.64	1053.34	1140.96	16526.5	3449.44	11107.9	6321.49	4976.81	8089.15	3473.28	1844.06	5378.31	690494	-4669.06	4363.68	4932.09	4888.98	8525.93	8415.3	6140.91	59845.1	-73612.1	26376.3	5055.19	-1163.99	310.746	220.458
4000	4	2.4966	101112	1516.81	971.28	1399.52	849.651	603.767	606.65	4023.03	718.491	815.983	5095.57	1330.37	1073.13	889.326	1716	4578.22	746.753	863.769	1037.53	4158.1	1033.69	1125.49	883.239	2785.42	788.587	3764.52	1068.45	1214.85	1573.36	1357.76	1114.47	1131.14	1166.33	1422.3	1276.85	1083.17	1017.62	1048.13	1803.15	1227.7	1116.81	1084.82	1159.76	16152.8	3591.58	10221.8	5994.08	5155.06	7876.35	3589.64	1850.06	5523.04	690762	-4516.24	4314.84	4950.55	4779.79	8385.54	8360.59	6139.77	59875.6	-73955.9	26503.6	5078.46	-1160.23	299.515	239.695
4500	4.5	2.46834	99967.6	1445.99	944.309	1387.63	844.145	605.066	580.644	4041.6	759.352	913.432	5059.48	1287.66	1052.02	856.525	1620.28	4369.17	787.45	838.562	988.37	4360.98	1020.34	1081.56	901.861	2711.68	785.922	3984.78	1064.68	1155.93	1609.01	1449.78	1046.63	1133.88	1113.99	1453.58	1439.13	1076.66	1055.22	1163.33	1822.79	1313.94	1155.63	1029.97	1140.62	16452.9	3428.21	10583.9	6352.61	5062.85	8195.52	3762.59	2023.85	5492.05	690358	-4374.91	4334.52	4918.23	4837.27	8626.73	8027.44	6105.61	59876.2	-73592.8	26469.3	5118.74	-1159.71	292.249	238.165
