step	time	T	Ekin	lj	bond_123	angle_250	dihedral_190	lj-14_0	lj-14_1
0	0	3.52096	39610.8	-37128.9	14373.2	17531.3	76709.2	374.671	17881.1
1000	1	3.48674	39225.8	-37152.2	14029.3	17545.3	77089.2	418.009	17444.7
2000	2	3.45532	38872.4	-37081.9	14323.1	17848.4	76571	442.235	18002.7
3000	3	3.58872	40373.1	-37258	14281.1	17820.7	77290.4	403.595	17463.9
4000	4	3.52182	39620.4	-37289	14288.8	17215.5	77052.9	398.926	17828
5000	5	3.51954	39594.8	-37263.5	14575.7	17287.5	77386.9	409.445	17603.3
6000	6	3.49344	39301.2	-37267.5	14016.6	18094.1	76191.2	411.291	18148.9
7000	7	3.4948	39316.4	-37433	14558.1	17769.6	76950.7	394.279	17661.4
8000	8	3.50118	39388.3	-37311.2	13862.6	17481.1	77269.8	408.782	18149.3
9000	9	3.45697	38890.9	-37152.1	14395	17683.2	76896.4	415.172	17690.9
10000	10	3.4878	39237.8	-37373.8	14056.5	17759.2	76999.8	426.532	17870.4
11000	11	3.53796	39802.1	-37350.6	13878.3	17898.3	76947	400.912	17761.4
12000	12	3.50951	39482	-37111	14273	17417.3	76985.9	419.237	17846.1
13000	13	3.53448	39762.9	-37226.6	14085.5	17741.4	77027.7	458.998	17442.9
14000	14	3.50268	39405.2	-37243	14254.6	17726.4	76840.1	388.637	17985.9
15000	15	3.51882	39586.7	-37328.5	14032.6	17824.4	77084.3	492.899	17518.6
16000	16	3.5077	39461.7	-37398.1	14616.3	17707.2	76864.3	419.87	17753.6
17000	17	3.52047	39605.3	-37505.7	13840.3	17561.9	76930.6	357.626	18002.7
18000	18	3.53721	39793.7	-37308.5	14228.1	17504.3	76865.3	445.459	17736.3
19000	19	3.50929	39479.6	-37258.4	14045.6	17165.4	77242.1	472.27	17726.2
20000	20	3.53492	39767.9	-37173.2	14320.7	17437.3	76832.2	460.499	17847.7
21000	21	3.55206	39960.7	-37318.6	14512.8	17759.4	77413	432.947	17273.9
22000	22	3.55398	39982.2	-37277.7	14327	17147.8	77354.7	351.576	17723.8
23000	23	3.57423	40210.1	-37345.9	14165.1	17006.4	77454.9	424.196	17771.2
24000	24	3.52933	39705	-37468.1	14133.2	17060.1	77425.5	372.037	17764.7
25000	25	3.53837	39806.6	-37194.6	14364.4	16958.5	77725.5	400.651	17823
26000	26	3.51332	39524.9	-37423.9	14604	17425.9	77431.3	368.765	17393.1
27000	27	3.50009	39376.1	-37348.4	14447.1	17381.5	76752.2	421.442	18023.9
28000	28	3.45743	38896.1	-37481	14207.3	17430.8	77364.1	373.917	17691.6
