step	time	T	Ekin	res	lj	bond_123	bond_125_cross	bond_123_cross	bond_124_cross	angle_251_cross	angle_252_cross	angle_250_cross	dihedral_190_cross	dihedral_191_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	6996.45	528.961	4655.66	0	205.772	0	9102.51	397.368	2324.64	0	0	0
100	0.1	2.23453	37707.8	0	4855.74	2676.53	3714.26	0	148.164	0	8217.23	368.117	2387.02	0	0	0
200	0.2	2.89695	48886.1	0	5540.31	4201.54	4023.21	0	152.166	0	8945.76	413.931	2291.68	0	0	0
300	0.3	3.26708	55132	0	5811.2	5219.63	4164.54	0	172.212	0	8779	424.576	2301.8	0	0	0
400	0.4	3.32996	56193.1	0	6345.51	6129.82	4590.63	0	179.909	0	8890.4	411.988	2291.9	0	0	0
500	0.5	3.42892	57863	0	6348.07	6064.29	4703.94	0	184.227	0	8875.97	383.932	2337.51	0	0	0
600	0.6	3.43818	58019.3	0	6783.85	6336.95	4924.28	0	250.748	0	8990.28	390.021	2287.87	0	0	0
700	0.7	3.47585	58655	0	6631.93	6678.49	4920.8	0	237.833	0	8995.89	383.557	2335.52	0	0	0
800	0.8	3.46878	58535.7	0	6654.19	6692.98	4913.68	0	213.877	0	9067.05	372.185	2315.46	0	0	0
900	0.9	3.50665	59174.8	0	6436.71	6547.25	4682.9	0	239.248	0	9047.81	393.511	2319.37	0	0	0
1000	1	3.52074	59412.4	0	6747.48	6391.77	4938.81	0	190.091	0	8982.44	386.112	2312.3	0	0	0
1100	1.1	3.50321	59116.6	0	6682.01	6714.17	4923.43	0	205.223	0	8844.04	393.777	2334.66	0	0	0
1200	1.2	3.51191	59263.5	0	6455.33	6585.28	4986.78	0	209.14	0	9060.44	385.383	2351.27	0	0	0
1300	1.3	3.54755	59864.9	0	6423.64	6692.59	4705.46	0	228.594	0	8955.72	438.567	2319.32	0	0	0
1400	1.4	3.53676	59682.9	0	6496.09	6368.33	4792.21	0	154.7	0	8872.8	413.65	2343.3	0	0	0
1500	1.5	3.46844	58529.9	0	6817.24	6598.94	4531.18	0	237.308	0	8929.01	400.243	2361.96	0	0	0
1600	1.6	3.50467	59141.3	0	6535.23	6621.71	4604.21	0	239.317	0	9049.82	393.041	2322.75	0	0	0
1700	1.7	3.51569	59327.3	0	6506.14	6533.19	5068.58	0	207.647	0	8933.67	392.334	2340.85	0	0	0
1800	1.8	3.57316	60297.1	0	6528.73	6667.26	4662.82	0	200.923	0	8912.74	403.603	2297.33	0	0	0
1900	1.9	3.58424	60484	0	6584.34	6627.34	5001.86	0	145.848	0	8817.67	372.677	2257.95	0	0	0
2000	2	3.53166	59596.8	0	6696.39	6540.26	4851.18	0	252.747	0	8812.52	403.762	2318.12	0	0	0
2100	2.1	3.51661	59342.8	0	6568.08	6750.56	4968.6	0	233.848	0	8890.05	385.247	2347.01	0	0	0
2200	2.2	3.53724	59691	0	6305.17	6628.77	5133.87	0	232.042	0	8926.71	366.252	2302.64	0	0	0
2300	2.3	3.54267	59782.6	0	6364.84	6756.76	5026.52	0	234.876	0	8779.28	390.342	2339.39	0	0	0
2400	2.4	3.51283	59279	0	6483.82	6591.98	5090.03	0	193.827	0	8875.46	384.144	2321.42	0	0	0
2500	2.5	3.55812	60043.3	0	6475.07	6696.71	4693.59	0	185.117	0	8837.23	405.226	2317.55	0	0	0
2600	2.6	3.51783	59363.3	0	6512.8	6721.34	4961.02	0	216.983	0	8882.56	447.84	2330.65	0	0	0
2700	2.7	3.55214	59942.3	0	6486.13	6584.16	4854.37	0	211.449	0	8876.29	429.458	2340.8	0	0	0
2800	2.8	3.56286	60123.2	0	6586.68	6364.46	4866.21	0	181.931	0	9029.14	394.68	2323.04	0	0	0
2900	2.9	3.55361	59967.1	0	6719.72	6575.13	4894.27	0	197.462	0	8893.21	365.311	2292.34	0	0	0
3000	3	3.54813	59874.8	0	6574.37	6960.76	5008.82	0	218.36	0	8782.24	373.639	2313.65	0	0	0
3100	3.1	3.56217	60111.6	0	6578.03	6825.82	4845.77	0	166.224	0	8940.52	357.28	2300.44	0	0	0
3200	3.2	3.57789	60376.8	0	6488.9	6770.55	5049.91	0	254.142	0	8789.95	368.809	2295.62	0	0	0
3300	3.3	3.53244	59609.9	0	6772.41	6882.7	4988.01	0	290.186	0	8955.64	386.035	2339.06	0	0	0
3400	3.4	3.57327	60298.9	0	6557.8	6845.22	4842.79	0	242.727	0	8975.87	380.917	2335.97	0	0	0
3500	3.5	3.55465	59984.7	0	6545.62	6944.9	4639.51	0	252.599	0	8956.12	409.116	2288.39	0	0	0
3600	3.6	3.54365	59799.2	0	6555.52	6793.04	5017.65	0	210.481	0	9073.56	413.694	2314.97	0	0	0
3700	3.7	3.55652	60016.3	0	6580.49	6497.1	4846.86	0	145.501	0	8987.3	410.581	2315.63	0	0	0
3800	3.8	3.50677	59176.7	0	6718.77	6700.89	4749.1	0	204.084	0	9018.7	401.698	2359.75	0	0	0
3900	3.9	3.53771	59698.9	0	6806.42	6432.85	4990.46	0	242.292	0	8953.56	405.555	2290.91	0	0	0
4000	4	3.581	60429.3	0	6759.69	6486.47	4925.73	0	217.906	0	8972.67	417.706	2368.74	0	0	0
4100	4.1	3.56909	60228.4	0	6430.29	6701.34	4965.18	0	255.408	0	8829.47	406.367	2383.8	0	0	0
4200	4.2	3.52032	59405.4	0	6720.71	6639.21	4981.74	0	224.241	0	8979.1	362.935	2349.07	0	0	0
4300	4.3	3.5452	59825.3	0	6967.22	6689.02	4684.4	0	219.497	0	8967.73	394.022	2313.74	0	0	0
