step	time	T	Ekin	angle_12	angle_160	angle_166	bond_71	bond_82	coulomb	dihedral_51	dihedral_83	lj	lj-14_0	lj-14_1	lj-14_2	lj-14_3	lj-14_4
0	0	3.01699e-32	6.83347e-29	647.014	2780.63	822.777	1882.66	1017.4	581.662	673.749	929.184	-508.365	51.9454	539.103	3.46873	5.47697	56.2556
500	0.5	3.52105	7975.18	648.395	2614.86	912.612	1965.86	944.028	575.493	676.892	848.033	-505.912	47.3008	521.648	0.551614	8.5283	63.5297
1000	1	3.58231	8113.93	700.225	2890.54	848.81	1945.42	1098.19	588.202	666.451	905.879	-517.081	53.9644	537.648	1.16184	8.81643	52.7396
1500	1.5	3.51198	7954.64	640.885	2692.25	835.088	1996.53	845.594	571.661	680.851	905.661	-517.03	56.2193	536.508	4.06337	8.99596	69.8037
2000	2	3.47341	7867.28	664.43	2745.06	797.049	1934.7	947.515	582.907	667.78	915.769	-453.129	47.8271	553.755	1.29958	7.54454	85.9353
2500	2.5	3.65307	8274.2	631.7	2997.73	814.078	1987.12	839.196	575.254	676.567	858.839	-523.579	57.2903	539.105	0.415057	11.383	68.7712
3000	3	3.56931	8084.5	710.475	2856.07	876.043	1906.45	993.76	572.132	674.349	828.289	-551.181	65.6116	564.012	3.64336	4.80774	74.3619
3500	3.5	3.61852	8195.95	649.951	2779.39	786.921	1897.01	964.642	591.959	652.018	854.75	-502.462	64.7232	598.838	2.9278	5.10862	63.0561
4000	4	3.54437	8027.99	720.257	2889.41	863.702	1813.04	901.002	589.351	662.901	936.673	-529.814	58.9782	524.987	0.637756	5.82347	46.498
4500	4.5	3.54929	8039.14	705.213	2957.45	828.019	1768.74	847.585	596.058	653.972	916.481	-533.409	64.4253	560.247	0.029892	5.36641	62.2673
5000	5	3.5506	8042.1	626.452	2825.2	888.007	1851.5	1007.42	594.167	655.522	894.189	-499.087	46.0293	567.086	0.619492	4.72075	74.6926
5500	5.5	3.64168	8248.4	628.127	2766.66	942.128	1733.32	1124.96	594.434	662.3	963.825	-528.261	66.3429	537.471	0.015489	3.86188	54.443
6000	6	3.45338	7821.9	732.195	2907.69	808.649	1899.98	907.349	601.748	653.463	956.838	-553.787	67.1606	542.416	3.28387	9.6643	45.647
6500	6.5	3.50621	7941.56	684.294	2794.59	813.16	1792.05	1013.65	604.494	645.583	975.06	-504.72	58.6148	571.457	2.87006	4.2977	49.1221
7000	7	3.48354	7890.22	672.561	2949.61	859.021	2128.84	976.798	607.485	645.609	970.128	-489.59	60.8829	579.227	0.610119	5.06314	51.7957
