step	time	T	T-cg	T-at	Ekin	res	angle_12	angle_12_cross	angle_160	angle_160_cross	angle_166	bond_124_cross	bond_125_cross	bond_71	bond_82	bond_82_cross	coulomb	dihedral_51	dihedral_51_cross	dihedral_83	dihedral_83_cross	lj	lj-14_0	lj-14_0_cross	lj-14_1	lj-14_1_cross	lj-14_2	lj-14_3	lj-14_4	lj-14_4_cross	tab-cg
0	0	0.21528	3.35837	0.111204	503.756	0	499.082	0	2888.51	0	768.757	15.9537	85.3987	2098.7	842.702	0	0	343.474	0	765.76	0	0	84.8759	0	532.041	0	-1.35642	4.88047	23.0856	0	4.38247
0	0	0.21528	3.35837	0.111204	503.756	0	499.082	0	2888.51	0	768.757	15.9537	85.3987	2098.7	842.702	0	0	343.474	0	765.76	0	0	84.8759	0	532.041	0	-1.35642	4.88047	23.0856	0	4.38247
500	0.5	3.4734	3.35837	3.47721	8127.75	0	527.682	0	2706.21	0	824.506	19.4102	65.0081	1913.6	976.096	0	0	373.352	0	878.568	0	0	45.7864	0	541.003	0	-0.973232	6.24777	52.468	0	3.05223
1000	1	3.46932	3.35837	3.47299	8118.21	0	558.193	0	2648.96	0	854.511	18.3005	62.48	1968.18	670.296	0	0	385.069	0	878.359	0	0	46.8034	0	552.698	0	-1.33841	8.91228	50.4825	0	4.17736
1500	1.5	3.54303	3.35837	3.54914	8290.69	0	531.023	0	2676.01	0	804.68	16.2907	64.1262	1746.83	844.542	0	0	412.202	0	853.383	0	0	63.8519	0	508.817	0	-1.35234	9.94129	72.2635	0	5.42267
2000	2	3.54504	3.35837	3.55123	8295.4	0	517.591	0	2652.7	0	788.501	18.1063	68.469	1887.17	762.742	0	0	411.007	0	835.239	0	0	37.3034	0	561.418	0	-1.21409	7.80766	80.3234	0	4.08817
2500	2.5	3.55904	3.35837	3.56568	8328.15	0	502.411	0	2655.57	0	881.626	18.714	53.5826	1797.48	790.101	0	0	403.105	0	807.503	0	0	44.559	0	508.536	0	3.5545	9.44592	66.9465	0	9.06273
3000	3	3.46875	3.35837	3.47241	8116.88	0	548.037	0	2598.51	0	901.939	18.4236	67.0183	1899.08	794.987	0	0	428.209	0	803.663	0	0	34.4758	0	512.561	0	1.20298	9.32504	90.8095	0	7.66091
3500	3.5	3.58382	3.35837	3.59128	8386.13	0	541.341	0	2515.4	0	735.313	14.7838	54.8185	1987.29	817.597	0	0	441.906	0	737.524	0	0	42.212	0	499.884	0	3.87158	5.99404	65.4901	0	5.85812
4000	4	3.49526	3.35837	3.4998	8178.92	0	529.752	0	2603.1	0	893.552	21.308	46.2028	2104.21	727.285	0	0	469.442	0	907.761	0	0	60.7863	0	487.346	0	4.53818	5.0014	94.3381	0	4.47124
