step	time	T	Ekin	res	lj	lj-tab	bond_125_cross	bond_124_cross	bond_124	angle_253_cross	angle_252_cross	angle_252	dihedral_190_cross	dihedral_190	dihedral_191_cross	lj-14_1	lj-14_0	lj-14_1_cross
0	0	0.87861	12355.5	0	2765.48	2765.48	3273.93	0	0	4907.75	0	nan	0	-nan	1683.13	-nan	8.45807e-293	0
1000	1	3.54877	49904.5	0	2880.64	2880.64	3384.61	0	9943.94	5069.77	0	7761.64	0	19784	1826.18	5376.97	427.111	0
2000	2	3.53713	49740.9	0	3172.6	3172.6	3343.59	0	10572	5202.72	0	7492.48	0	19446.8	1907.36	5633.77	377.908	0
3000	3	3.55493	49991.2	0	3078.11	3078.11	3605.15	0	10007.5	5209.24	0	7454.78	0	19505.9	1906.98	5456.8	444.092	0
4000	4	3.55144	49942.1	0	3094.31	3094.31	3364.93	0	10057.1	5325.64	0	7300.01	0	19725.3	1916.63	5368.54	418.966	0
5000	5	3.55461	49986.8	0	3098	3098	3266.62	0	10535.1	5294.44	0	7328.05	0	19717.1	1887.91	5374.8	439.839	0
5001	5.001	3.54821	49896.7	0	3095.57	3095.57	3266.26	0	10584.4	5295.2	0	7348.35	0	19717.8	1888.1	5369.26	437.816	0
5002	5.002	3.51908	49487	5e-05	5762.4	3095.47	3266.24	0.0686678	10601.6	5295.8	0.00202986	7373.13	0.000167486	19717.4	1888.18	5362.67	436.282	0.153828
5003	5.003	6.13699	86301.4	0.0001	3215.08	3114.64	3265.75	0.274596	11027.2	5296.3	0.00811491	7396.89	0.000669974	19714.7	1888.43	5398.13	435.174	0.592741
5004	5.004	6.02322	84701.5	0.00015	3239.65	3115.79	3265.51	0.617675	11950.2	5296.68	0.0182458	7463.49	0.00150785	19714.1	1888.64	5494.49	434.543	1.2989
5005	5.005	5.87675	82641.9	0.0002	3290.21	3117.78	3266.55	1.09784	12619.8	5297.02	0.0324156	7638.51	0.00268137	19731.4	1888.7	5760.89	433.853	2.27335
5006	5.006	5.7625	81035.2	0.00025	3331.26	3119.81	3269.61	1.71502	12153.1	5297.18	0.0506273	7886.77	0.00419119	19715.3	1888.82	7247.78	433.362	3.48974
5007	5.007	5.5139	77539.2	0.0003	3364.27	3121.49	3276.69	2.46928	11173.6	5297.38	0.0728714	8041.99	0.00603745	19700.8	1888.97	13226.6	432.64	4.92117
5008	5.008	6.04066	84946.8	0.00035	3391.45	3122.76	3291.12	3.36132	10810.5	5297.4	0.0991618	8046.65	0.0082216	19702	1889.06	5986.21	432.443	6.53011
5009	5.009	6.09577	85721.8	0.0004	3416.25	3125.01	3322.56	4.39091	11278.7	5297.47	0.129488	8037.86	0.0107426	19703	1889.1	5499.5	432.142	8.31271
5010	5.01	5.96833	83929.7	0.00045	3439.38	3130.53	3364.07	5.55815	12535.4	5297.7	0.163847	8022.19	0.013601	19704.2	1889.15	5468.05	431.711	10.2684
5011	5.011	5.75356	80909.4	0.0005	3450.92	3131.37	3414.04	6.86317	14397.3	5298.22	0.202244	8001.02	0.0167958	19704.5	1889.11	5494.79	431.447	12.3281
5012	5.012	5.51319	77529.2	0.00055	3456.32	3133.64	3472.63	8.30617	16571.4	5298.99	0.244676	7975.11	0.0203248	19704.1	1889.39	5533.93	431.345	14.3932
5013	5.013	5.27536	74184.8	0.0006	3459.86	3137.16	3539.23	9.88715	18736.5	5300.05	0.291144	7936.23	0.0241844	19703.6	1889.53	5571.6	431.038	16.4331
5014	5.014	5.05603	71100.4	0.00065	3462.28	3140.46	3613.56	11.6063	20586.7	5301.27	0.34165	7893.98	0.0283762	19702.4	1889.72	5600.32	430.551	18.4624
5015	5.015	4.89739	68869.5	0.0007	3466.26	3143.87	3696.02	13.4636	21866	5302.48	0.396199	7847.37	0.0329022	19701	1889.8	5614.8	429.824	20.2562
5016	5.016	4.78066	67228.1	0.00075	3473.16	3147.55	3784.51	15.4591	22428.7	5303.79	0.454795	7811.38	0.0377652	19699.4	1890.21	5612	429.055	22.094
5017	5.017	4.72553	66452.8	0.0008	3480.11	3151.65	3879.52	17.5924	22256.1	5305.22	0.517439	7784.79	0.0429646	19698.7	1890.33	5593.93	428.597	23.7661
5018	5.018	4.75094	66810.2	0.00085	3486.82	3155.39	3980.25	19.8636	21495	5306.4	0.584128	7774.59	0.0485327	19698.7	1890.49	5569.19	428.54	25.3015
