step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
1000	1	3.56679	40126.3	-35929.7	13887.5	17169.6	77995.2	422.935	17695	7.33883
2000	2	3.49968	39371.4	-36114.4	13962.9	17499.8	77361.2	426.314	17368.6	-5.05822
3000	3	3.48286	39182.2	-35956	13864.6	17238	77724.4	402.391	17764.1	29.5042
4000	4	3.47897	39138.4	-35871.6	14047.1	17677.8	77533.4	406.138	17523.7	-16.3925
5000	5	3.54218	39849.5	-35629.4	14372.6	17247	77933.9	468.215	17253.4	12.78
6000	6	3.53816	39804.2	-35778.8	14395.9	17340.4	78118	375.461	17232.9	-18.9022
7000	7	3.52159	39617.9	-35856.5	13966.5	17180.5	77552.6	392.067	17619.7	21.6106
8000	8	3.52546	39661.5	-35971.9	14232.2	17246.6	78162.9	425.017	17427.5	10.3403
9000	9	3.53423	39760.1	-35918.9	14152.2	17274.8	77571.2	340.772	17749.8	-7.84037
10000	10	3.51264	39517.2	-36081.4	14007.1	17815.8	77173.3	378.398	18004.8	23.0909
11000	11	3.5399	39823.9	-35929.2	14230.3	16882.5	77742.8	405.278	17642.9	-19.5952
12000	12	3.47274	39068.3	-35938.6	14187	17272.8	77718.9	390.671	17004.5	-8.80396
13000	13	3.52074	39608.4	-35925	14466.1	17294.8	78354.2	391.461	17088.6	-22.3375
14000	14	3.54028	39828.2	-36064.9	14469.6	17222.4	77992.3	412.903	17285.9	-24.8147
15000	15	3.53596	39779.6	-36029.7	13792.4	17301.3	77688.3	362.197	17837.3	61.1261
16000	16	3.52549	39661.7	-35862.4	14144	17639.4	77203.9	431.513	17653.4	-32.1139
17000	17	3.47395	39082	-35936.5	14133.2	17306	77622.6	452.603	17571.2	4.49211
18000	18	3.49497	39318.5	-36078.9	14254.1	17774.5	77314.1	368.731	17499.6	-5.36336
19000	19	3.46537	38985.5	-35724.2	14277.6	17365.6	76952.5	467.865	17772.7	-35.8693
20000	20	3.53652	39785.9	-35955.8	13654.2	17536	77668.8	427.937	17510	20.775
21000	21	3.4688	39024	-36086.9	14508.3	17929.5	77617.5	414.01	17624.1	-3.94328
22000	22	3.51021	39489.9	-35991	13933.8	16799.6	77177.7	395.79	17973.2	4.21322
23000	23	3.52655	39673.7	-36115.6	14221.8	17026.7	77678.9	418.315	17652.6	7.7161
24000	24	3.52604	39667.9	-35881.1	14089.2	17135.7	77706.6	464.01	17813.8	14.2581
25000	25	3.49479	39316.3	-36030.4	14266.8	17029.2	77558.9	388.431	17464	-26.9035
26000	26	3.46234	38951.3	-35793.1	14137	17308.3	77746.9	377.581	17026.7	-49.1635
27000	27	3.57738	40245.5	-35723.9	14390.1	17267.9	77464.4	416.774	17612.4	-5.9533
28000	28	3.49394	39306.8	-35935.4	14231.6	17257.5	77868.5	354.9	17597.7	-5.56053
29000	29	3.50126	39389.2	-36122.5	13978.4	17367.9	77689.5	372.233	17608.3	-30.9123
30000	30	3.5104	39492.1	-35985.8	14039.9	17646.2	77327.7	405.217	17871.1	-40.0972
31000	31	3.49339	39300.6	-36104.6	14147.9	17204	77484.4	354.888	17874.4	-8.33578
32000	32	3.49746	39346.4	-35877.7	14189.5	17582.7	77588.6	349.451	17755.9	-10.7284
33000	33	3.5513	39952.1	-35965.8	14226.9	17186	77012.8	427.296	17996.1	-3.56133
34000	34	3.48728	39231.9	-35846.8	14189.7	17269.6	77727.9	474.841	17202.8	-28.2336
35000	35	3.52412	39646.4	-35921.9	14283.2	16727.8	78051.9	376.101	17234.4	-10.4307
36000	36	3.46013	38926.5	-36066.1	14035.4	16908.1	78346.8	422.224	17471.5	23.2796
37000	37	3.55253	39965.9	-35866.7	13852.2	17327.3	77674	390.623	17505.7	24.2278
38000	38	3.54947	39931.5	-35936.8	13705.6	17314.9	78143.2	429.843	17258.5	7.11413
39000	39	3.53537	39772.9	-35814	14117.9	17642.4	77463.3	388.718	17568.8	5.65255
40000	40	3.52194	39621.8	-35896.4	14186.5	17338.6	77534.1	462.724	17813.8	3.1631
41000	41	3.5111	39499.9	-36116.9	13937.1	17384.4	77878.1	339.94	17600.9	26.7006
42000	42	3.50413	39421.5	-35715.3	13704.9	17511	76834.1	373.256	17813.2	-16.7537
43000	43	3.49215	39286.7	-35907	14504.9	17792.6	76722.7	377.628	17549.7	-31.0022
44000	44	3.54286	39857.2	-35638.7	14231.3	17370.2	76846	386.687	17847.4	12.4333
45000	45	3.57509	40219.8	-36015.8	13975.7	17025.2	77462.8	374.675	17749.1	-11.7318
46000	46	3.50959	39482.9	-35927.4	14164.5	17546.6	77506.3	473.528	17380.3	-23.0466
47000	47	3.50169	39394	-35944.9	14570.8	17600.1	77523.7	455.063	17629.3	-8.6075
48000	48	3.59816	40479.3	-35859.4	13663.4	17590.9	76918.9	391.286	17804.7	-8.83236
49000	49	3.50002	39375.2	-35846.8	14419.2	17024.2	77617.6	456.132	17766.6	-16.8713
50000	50	3.46993	39036.7	-35865.2	14290.3	17410.8	76797.5	475.463	17996.7	-23.5733
51000	51	3.46531	38984.7	-35657.9	14469	17284.1	77161.1	377.66	17853.1	-0.784736
52000	52	3.51546	39548.9	-35823.3	14389.5	17697.4	77386.8	443.25	17612.9	-3.53563
53000	53	3.51326	39524.2	-36044.3	14245.1	17345.6	78073.8	366.141	17540	-7.00893
54000	54	3.51378	39530	-35885.8	14457	17595.3	77320.5	419.012	17457.4	-65.6338
55000	55	3.54672	39900.6	-36000.3	13946.4	17604.3	77497.7	422.756	17706.1	27.3091
56000	56	3.51494	39543	-35948	14181.4	17336.1	77536.6	386.133	17769.8	33.7378
57000	57	3.57756	40247.5	-35926	14317.3	17669.2	77371.2	432.324	17752	8.64063
58000	58	3.4687	39022.9	-35998.5	13862.5	17451.7	77259.6	418.25	17503.3	-13.247
59000	59	3.49115	39275.5	-36146.8	14436.8	17159.2	77323.9	369.258	17884	2.21577
60000	60	3.5587	40035.3	-35782.4	13830.8	17384.1	77846.4	468.554	17507.4	23.8424
61000	61	3.50108	39387.2	-35989.7	14184	17613.4	78057	334.763	17590.9	-33.7909
62000	62	3.5486	39921.7	-36002.7	13910.8	17308.2	77475	435.414	17723.4	-2.32351
63000	63	3.53761	39798.1	-35952	14262.5	17343.2	77405.3	375.851	17440.8	-6.59785
64000	64	3.58449	40325.5	-36080.5	13823.3	17241	77229.7	405.474	17827.6	17.4267
65000	65	3.48772	39236.9	-35874.6	14070.5	17350.4	77266.3	393.81	17743	-7.92707
66000	66	3.51853	39583.4	-35790.3	14002.9	16998.6	77774.3	388.302	17803.2	22.8483
67000	67	3.46366	38966.2	-35893.2	14075	17318.3	77197.7	433.506	17687.9	-11.0874
68000	68	3.50007	39375.7	-35828	13887.6	17029.8	77986.3	419.566	17277.1	-10.2547
69000	69	3.57121	40176.1	-35855.2	13719.6	17460.7	77936.9	453.153	17719.5	67.2797
70000	70	3.51519	39545.8	-35804.8	14330.8	17683.3	78108.3	405.49	17219.4	-34.8968
71000	71	3.46593	38991.7	-36086.2	13632.2	17214.5	78185.8	462.349	17428.8	33.9749
72000	72	3.49108	39274.6	-35935.6	13861.1	17576.7	77717.5	444.245	17519	-28.9271
73000	73	3.51335	39525.1	-35915.6	14353.6	17388.9	77718.7	466.898	17679.4	30.9247
74000	74	3.62675	40801	-35964	14152.1	17515.3	77932.9	355.034	16922.7	5.86966
75000	75	3.57992	40274.1	-36076	14120.7	17293.3	77763.8	386.449	17787.6	9.8067
76000	76	3.56623	40120.1	-36047.1	13937.4	17205.6	77498.1	418.097	17508.1	-6.65092
77000	77	3.56642	40122.2	-35926.1	14330.7	17408.7	77843.1	424.505	17543.4	-24.7354
78000	78	3.52891	39700.2	-36121.1	13786.9	17178.6	78098.5	455.436	17236.8	-19.0176
79000	79	3.55806	40028.2	-35694.5	14264.3	17165.1	77890.8	478.334	17543.4	12.4526
80000	80	3.54296	39858.3	-36145.8	13961.1	17716.3	78099.1	380.539	17149.5	-21.9258
81000	81	3.51647	39560.3	-35882.9	13813.4	17272.2	77759	404.38	17235.2	-42.8749
82000	82	3.43984	38698.2	-35906.9	14402	17350.4	77295.8	362.264	17781.4	1.65168
83000	83	3.48422	39197.4	-35844.9	14096.7	17093	77767.3	435.447	17777.8	17.2039
84000	84	3.54319	39860.9	-36048.8	14147.5	17578.7	77718.9	389.793	17672.5	12.4994
85000	85	3.46933	39030	-35680.1	14210.8	17274.1	77217.4	384.728	17576.5	-1.57041
86000	86	3.48204	39173	-35805.1	14308.1	17580.8	77742.9	409.047	17448.8	-32.3506
87000	87	3.50267	39405.1	-35864	13900.9	16906.1	77800.5	425.285	17675.9	0.522579
88000	88	3.50967	39483.8	-36085	14356.5	17562.6	77267.6	458.765	17745.1	-3.49997
89000	89	3.55145	39953.8	-36191.9	14950.1	17648	77873.9	421.535	17651.2	-3.33951
90000	90	3.49275	39293.4	-36011.9	13893.8	17265.9	77839.2	380.323	17549.3	3.28796
91000	91	3.51781	39575.3	-35863.5	14105.6	17184.2	77454.7	368.964	17791.8	22.7885
92000	92	3.44675	38775.9	-36125.2	13890.2	16943.3	77952.5	427.844	17484.2	6.74272
93000	93	3.5207	39607.9	-35904.7	14306.9	17628.4	77544.2	464.593	17793.9	37.4744
94000	94	3.48443	39199.8	-35802.5	13917.8	17460.9	77922.3	346.626	17259.8	-34.2817
95000	95	3.5297	39709.1	-35952.7	14639.2	16905	78071.2	448.073	17592.8	-14.7272
96000	96	3.50284	39407	-36038.2	14115.4	16803.7	78239.3	444.635	17700.4	17.0673
97000	97	3.45083	38821.8	-35998.1	14257.9	17371	77747.2	419.958	17681.3	2.44859
98000	98	3.51643	39559.8	-35914.9	14363.3	17325.3	77532.2	310.58	17901.9	18.6289
99000	99	3.54034	39828.8	-35793.4	13733.7	17625.7	77280.4	402.781	17590.8	-3.99331
100000	100	3.54943	39931.1	-35942.3	14049.8	17402.3	77336.7	469.126	17465.6	2.64478
101000	101	3.52281	39631.6	-36018.9	13761.3	17477	77706.7	383.683	17558.6	29.7926
102000	102	3.52091	39610.2	-36067.3	13698.2	17479.8	77849.8	453.533	17290.6	5.97466
103000	103	3.52373	39642	-35901	14434.5	17694.8	77570.5	435.081	17435.5	-1.26339
104000	104	3.52796	39689.6	-36028.5	13570.9	17595.5	77142.3	372.414	17614.9	6.6458
105000	105	3.50661	39449.4	-35914.6	14259.5	17022.5	77390.8	370.584	17572.8	-26.8491
