step	time	T	Ekin	res	lj	lj-tab	bond_125_cross	bond_124_cross	bond_124	angle_253_cross	angle_252_cross	angle_252	dihedral_190_cross	dihedral_190	dihedral_191_cross	lj-14_1	lj-14_0	lj-14_1_cross
0	0	0.87861	12355.5	1	-35990.7	0	0	3584.94	0	0	8436.02	8795.3	58013.5	19961.5	0	0	1.35388e+243	13306.7
1000	1	3.50233	49251.4	1	-35977.9	0	0	3377.42	10695.2	0	8764.47	8942.76	57460.1	19889.9	0	4281.92	375.911	13209.9
2000	2	3.53478	49707.9	1	-36178.9	0	0	3442.58	10885.8	0	8510.92	8609.16	57935.1	20249.2	0	4259.73	380.496	13282.4
3000	3	3.52101	49514.2	1	-35963.2	0	0	3404.76	10599.2	0	8401.65	8798.55	57540.4	19866.3	0	4434.1	410.224	13070.2
4000	4	3.5174	49463.4	1	-36089.5	0	0	3348.26	10539.2	0	8667.05	8685.18	57582.7	20149.3	0	4230.07	421.376	13186.2
5000	5	3.58388	50398.3	1	-35806.4	0	0	3313.02	10955	0	8542.29	8804.19	57193.6	20117.6	0	4235.87	430.163	13656.9
6000	6	3.56438	50124.1	1	-35876.3	0	0	3380.61	10630.6	0	8590.15	8617.24	57476.3	20372.2	0	4032.25	458.174	13504.9
7000	7	3.57313	50247.1	1	-36131.1	0	0	3577.29	10823.7	0	8257.13	8858.33	58185.6	20400.7	0	4122.42	430.462	12817.3
8000	8	3.56919	50191.8	1	-36113.2	0	0	3422.67	10573.5	0	8353.94	8618.9	57913.6	20177.3	0	4168.74	432.449	13270.9
9000	9	3.49264	49115.2	1	-35894.6	0	0	3479.6	10997.9	0	8358.07	9082.6	57487.9	20074.8	0	4273.27	340.256	13440.7
10000	10	3.49684	49174.3	1	-36139.3	0	0	3556.15	10564.9	0	8254.81	8363.81	57913.6	20264.2	0	4136.91	421.63	13117
11000	11	3.55563	50001.1	1	-36169.9	0	0	3101.02	10370.3	0	8418.45	8537.45	57713.3	20363.9	0	4129.18	451.742	13415.6
12000	12	3.53527	49714.7	1	-36003.6	0	0	3447.11	10773.8	0	8829.22	8690.78	57233	20098.4	0	4250.21	379.81	13462
13000	13	3.52096	49513.5	1	-35960.9	0	0	3522.04	10911.9	0	8324.26	8624.41	57635.8	20197.2	0	4176.95	453.271	13433
14000	14	3.5142	49418.4	1	-35935.8	0	0	3373.01	10382.4	0	8492.49	8778.46	57639.4	19944.6	0	4315.82	379.535	13331.7
15000	15	3.57436	50264.5	1	-35743.4	0	0	3419.81	10763.3	0	8645.76	8635.3	57058.7	20326.1	0	4220.18	350.842	13459.1
16000	16	3.53814	49755.1	1	-35824.4	0	0	3230.13	10914.6	0	8617.4	8968.9	56795.7	20298.2	0	4179.08	381.802	13575.6
17000	17	3.53579	49722	1	-36020.6	0	0	3446.37	10977.5	0	8465.57	8810.64	57354.1	19782.2	0	4585.75	386.87	13547.4
18000	18	3.60265	50662.3	1	-35861.7	0	0	3353.1	10788.1	0	8437.07	8508.08	56926.2	20275.4	0	4106.01	345.346	13850.7
19000	19	3.56098	50076.2	1	-35920.8	0	0	3498.08	10668.7	0	8270.47	8586.27	56784.9	20025.7	0	4392.96	414.748	13815.8
20000	20	3.55236	49955	1	-35962.6	0	0	3227.14	10584.4	0	8253.58	8611.8	57783.3	20096.2	0	4162.82	396.246	13148
21000	21	3.5334	49688.5	1	-35859.2	0	0	3324.33	10851.2	0	8538.21	8441.68	57059.2	20251.4	0	4331.75	373.091	13735.7
22000	22	3.45401	48572.1	1	-35970.6	0	0	3587.27	10218.7	0	8761.26	8916.84	57784	19900.9	0	4321.98	445.095	13098.8
23000	23	3.51928	49489.9	1	-35929.6	0	0	3443.88	10653.8	0	8471.11	8915.49	57463.7	20149.3	0	4140.6	387.617	13307.5
24000	24	3.52598	49584.1	1	-35665.2	0	0	3425.27	10713.1	0	8503.19	9044.18	57645.7	20052	0	4324.56	391.166	13357
25000	25	3.58393	50399	1	-36097.8	0	0	3320.65	10986.7	0	8361.67	8463.74	57542.3	20018.1	0	4319.72	417.356	13230.9
26000	26	3.535	49710.9	1	-36087.4	0	0	3391.18	10904.3	0	8499.56	8955.03	57932.2	19975.2	0	4324.08	433.735	13321.8
27000	27	3.50653	49310.6	1	-36135.6	0	0	3336.96	10786	0	8558.19	8868.97	58286.1	20079.6	0	4397.36	417.053	13086.7
28000	28	3.55467	49987.5	1	-36217	0	0	3303.84	10895.7	0	8179.77	8494.77	58067.8	19986.1	0	4505.56	453.974	13195.6
29000	29	3.52715	49600.6	1	-35914.5	0	0	3546	10774.8	0	8696.74	8664.71	57919.2	20118.8	0	4270.21	460.345	12848.2
30000	30	3.53219	49671.4	1	-36176.4	0	0	3504.9	10871.7	0	8189.24	9025.65	57714.2	20217.3	0	4148.38	367.383	13435.4
31000	31	3.55025	49925.4	1	-35848.4	0	0	3457.64	11016.5	0	8610.1	8901.38	57471.3	20103.2	0	4202.59	413.481	13291.8
32000	32	3.57511	50275	1	-35988.1	0	0	3471.36	10981.5	0	8211.25	8685.94	56920.6	20380	0	4079.26	433.386	13754.6
33000	33	3.5247	49566.1	1	-35996.8	0	0	3534.39	10377.4	0	8752.95	8832.49	57281.9	20511.2	0	4001.33	424.424	13597.1
34000	34	3.60052	50632.3	1	-35995.5	0	0	3499.43	10578	0	8652.62	9080.62	57570.1	20094.5	0	4237.54	462.066	13280.3
35000	35	3.61879	50889.2	1	-35795.3	0	0	3541.49	10758.4	0	8291.83	8995.69	57313.9	19948.6	0	4269.04	484.755	13496.5
36000	36	3.5671	50162.3	1	-36050.5	0	0	3186.78	10802.8	0	8807.42	9000.24	57387.4	20160.9	0	4310.68	383.586	13470.6
37000	37	3.58232	50376.4	1	-35919.5	0	0	3456.79	10449.7	0	8519.89	8789.65	57743.7	19875	0	4463.42	378.604	13319.6
38000	38	3.53151	49661.8	1	-36042.6	0	0	3611.71	11169.8	0	8649.92	8939.1	57202	19883.8	0	4357.37	399.383	13672.4
39000	39	3.5663	50151.2	1	-35889.4	0	0	3680.54	10745.7	0	8702.97	9034.72	57539.9	19453.7	0	4618.47	461.609	13259.1
40000	40	3.50464	49284	1	-35914.3	0	0	3373.28	10214.7	0	8730.35	9064.31	57371.1	19697.8	0	4329.95	391.682	13186.7
41000	41	3.54061	49789.8	1	-36033	0	0	3232.32	10808.8	0	8770.31	8702.73	57078.3	19677.6	0	4379.55	466.31	13485.4
42000	42	3.5568	50017.5	1	-35888.7	0	0	3362.16	11072.3	0	8284.27	8641.22	57761.1	19532	0	4626.96	447.149	13457.5
43000	43	3.50893	49344.3	1	-35853.4	0	0	3432.65	10857.4	0	8733.19	8886.86	57317.1	19255.5	0	4575.19	464.162	13186
44000	44	3.50518	49291.6	1	-36119.1	0	0	3575.59	10793.3	0	8722.5	8903.05	57242	19817	0	4361.78	423.76	13117
45000	45	3.54383	49835.1	1	-35869.7	0	0	3271.67	10909.3	0	8640.13	8754.9	57378.5	19668.5	0	4464.73	379.46	13465.9
46000	46	3.58897	50469.8	1	-35714.3	0	0	3438.98	10288.4	0	8721.41	8616.9	57321.5	20178.3	0	4285.89	397.671	13481.2
47000	47	3.60755	50731.2	1	-35768.1	0	0	3271.58	10848.5	0	8627.68	9323.39	57605.1	19749.6	0	4486.97	355.906	13113.2
48000	48	3.5221	49529.5	1	-35925.2	0	0	3451.61	10936	0	8978.34	8664.25	57569.6	19813.1	0	4410.22	432.96	13142.5
49000	49	3.59167	50507.9	1	-35951.5	0	0	3488.89	10728.8	0	8445.75	8832.53	57658.8	19919.6	0	4443.83	407.669	13414.2
50000	50	3.53702	49739.3	1	-36048.8	0	0	3449.62	10774.7	0	8749.03	8402.66	57458.2	19989.8	0	4311.69	395.769	13143.2
51000	51	3.50739	49322.6	1	-35855	0	0	3348.14	10847.5	0	8233.59	8846.53	57791.7	19743	0	4392.9	467.478	13368.7
52000	52	3.56346	50111.1	1	-35953.1	0	0	3456.19	10635.2	0	8848.37	8929.06	57381	19849.6	0	4329.5	396.934	13291.6
53000	53	3.53245	49675.1	1	-35907.2	0	0	3563.76	10651.7	0	8493.66	9038.36	58023.7	19835.2	0	4494.84	379.7	13194.9
54000	54	3.57172	50227.4	1	-35916.6	0	0	3296.96	10676.7	0	8360.52	8603.57	58070.7	19747.7	0	4600.29	363.21	13430.4
55000	55	3.57722	50304.6	1	-35818.2	0	0	3364.2	10738.4	0	8386.6	8632.83	57987.4	20101.6	0	4389.37	379.141	13243.4
56000	56	3.53237	49674	1	-35766	0	0	3524	11102.1	0	8435.94	9029.7	57416.5	19494.5	0	4482.72	399.85	13207.6
57000	57	3.5344	49702.5	1	-35899.9	0	0	3537.25	10538.7	0	8754.39	8828.1	57167.4	20018.6	0	4341.44	404.533	13448.9
58000	58	3.52453	49563.7	1	-35734.8	0	0	3439.4	10432.1	0	8494.72	8981.1	57427.1	19650	0	4454.23	379.841	13544.8
59000	59	3.50469	49284.7	1	-36254.3	0	0	3573.23	11120.3	0	8570.13	8750.16	57440.2	19865	0	4420.22	364.718	13306
60000	60	3.56409	50120	1	-36027.7	0	0	3656.05	10717.2	0	8498.32	8693.58	56959.2	19923.7	0	4367.86	415.737	13631.7
61000	61	3.51813	49473.6	1	-36067.3	0	0	3657.15	10826.4	0	8185.05	8911.51	57313.1	19862.6	0	4264.41	419.945	13513.9
62000	62	3.51434	49420.4	1	-35851.7	0	0	3468.91	10846.8	0	8295.2	9018.33	57661.8	19843.2	0	4391.98	368.024	13307.4
63000	63	3.52969	49636.2	1	-35954	0	0	3503.09	10405.2	0	8437.91	9224.55	57930.1	19583.1	0	4542.67	417.763	13214.6
64000	64	3.55815	50036.5	1	-36165	0	0	3327.76	10986.4	0	8845.75	9054.75	57073.1	19905.5	0	4313.51	305.017	13090.2
65000	65	3.55156	49943.8	1	-35834.4	0	0	3708.44	10611	0	8259.77	8794.27	57177.1	19869.9	0	4408.6	420.784	13648.5
66000	66	3.5652	50135.7	1	-35659.3	0	0	3517.07	10569.9	0	8384.18	8790.83	57546.2	19726.7	0	4379.64	479.594	13340.5
67000	67	3.54125	49798.9	1	-35932.1	0	0	3426.92	10655.3	0	8597.83	8769.67	57605.3	19569.4	0	4492.12	482.98	13478.4
68000	68	3.57051	50210.2	1	-35752.6	0	0	3425.72	10530.5	0	8496.99	8904.03	57680.9	19905.9	0	4397.84	406.491	13516
69000	69	3.53668	49734.5	1	-35847.1	0	0	3324.92	10586.1	0	8408.81	8799.25	57561.4	19684.5	0	4448.06	521.545	13284.4
70000	70	3.50281	49258.3	1	-35772	0	0	3396.76	10905.7	0	8765.12	8505.79	57349.9	19926.2	0	4442.98	418.854	13162.5
71000	71	3.5431	49824.9	1	-35829.1	0	0	3324.8	10579.6	0	8438.45	8871.22	57063.4	19893.7	0	4383.68	511.783	13764.9
72000	72	3.53104	49655.3	1	-36049.3	0	0	3491.66	10514.6	0	8774.86	8732.99	57486.7	19896.9	0	4431.76	380.826	13048.3
73000	73	3.52165	49523.2	1	-35936.6	0	0	3375.9	10780	0	8767.1	8572.68	57737.7	20066.4	0	4440.59	360.268	12917.8
74000	74	3.50222	49249.9	1	-36124.1	0	0	3309.16	10566.4	0	8474.34	9379.77	57701.9	19912.6	0	4334.7	406.826	13214.2
75000	75	3.50036	49223.9	1	-36074.3	0	0	3160.91	11004.6	0	8421.14	8926.2	57489.7	20415.1	0	3955.18	399.505	13342.9
76000	76	3.56472	50128.9	1	-35977.6	0	0	3305.27	10778.4	0	8515.61	8695.93	57807.1	20208.7	0	4169.08	371.959	13431.9
77000	77	3.50787	49329.5	1	-35729.2	0	0	3593.9	10950.2	0	8688.3	8737.3	57217.4	20308.1	0	4206.64	411.787	13358.3
78000	78	3.5177	49467.7	1	-35764.4	0	0	3780.43	10764.7	0	8234.11	8786.33	56897.2	20638.2	0	4070.4	302.429	13826.1
79000	79	3.49608	49163.6	1	-36034	0	0	3329.03	10689.4	0	8683.32	8668.91	57158.7	20151.2	0	4247.49	442.471	13353.4
80000	80	3.52114	49516.1	1	-35900.8	0	0	3470.53	10595.9	0	8853.42	9043.21	57404.5	20177.7	0	4145.79	353.126	13159.4
81000	81	3.60183	50650.8	1	-35523.4	0	0	3582.33	10848.4	0	8755.62	9196.58	57247.5	20124.6	0	4140.9	389.052	13516.5
82000	82	3.50938	49350.7	1	-35967.9	0	0	3335.9	10795.2	0	8479.48	8996.88	56966	20117.8	0	4292.52	399.344	13663.3
83000	83	3.60561	50703.9	1	-36146.6	0	0	3428.02	10937.7	0	8723.83	8502.42	57342.9	19836.4	0	4411.17	360.71	13377
84000	84	3.57369	50255	1	-35896.8	0	0	3323.97	10918.2	0	8483.93	8518.92	57951.4	20126.7	0	4265.87	348.916	13098.7
85000	85	3.50082	49230.2	1	-35700.1	0	0	3354.15	10766.3	0	8382.63	8761.8	57307.6	20151.7	0	4234.78	321.938	13536.2
86000	86	3.57257	50239.2	1	-35995.9	0	0	3402.36	10639.5	0	8424.39	9059.13	57443.5	20147.2	0	4162.43	397.376	13572.9
87000	87	3.53562	49719.7	1	-35842.7	0	0	3356.12	10813.2	0	8448.54	8990.41	57441.5	20056.3	0	4259.12	404.457	13284
88000	88	3.56404	50119.3	1	-36019.3	0	0	3519.12	10547.3	0	8760.12	8639.18	57847.1	20090.6	0	4273.63	395.271	13302.5
89000	89	3.5021	49248.2	1	-36082	0	0	3394.86	10801.7	0	8565.19	9096.1	57500.8	20158.8	0	4124.03	380.929	13284
90000	90	3.50336	49266	1	-35856.7	0	0	3533.97	10891	0	8787.71	8845.1	57627.4	20174.9	0	4179.76	372.994	13169.8
91000	91	3.5262	49587.2	1	-35956.7	0	0	3336.26	11148.7	0	8664.34	9261.36	57302.2	19946.8	0	4322	421.023	13335.3
92000	92	3.52497	49569.9	1	-35993.8	0	0	3271.86	10596.3	0	8353.19	8874.19	58033.2	19996.3	0	4225.26	415.278	13127.7
93000	93	3.57146	50223.6	1	-35733.2	0	0	3396.31	10632.5	0	8369.26	8743.65	57464.6	20220.4	0	4128.18	451.356	13172.6
94000	94	3.60981	50763	1	-36159.4	0	0	3507.23	10570.5	0	8404.12	8619.92	57763.2	20235.1	0	4252.87	385.48	13350.1
95000	95	3.60367	50676.6	1	-35984.6	0	0	3646.83	10801.9	0	8337.82	8829.97	57603.7	20044.5	0	4299.58	398.239	13560.2
96000	96	3.53204	49669.4	1	-36069.4	0	0	3485.59	10949.2	0	8384.63	8592.03	57842.3	19831.8	0	4423.61	405.861	13361.2
97000	97	3.58256	50379.8	1	-36087.6	0	0	3392.79	11129.7	0	8517.44	8784.39	57559.1	20029.9	0	4221.72	416.547	13061.4
98000	98	3.54823	49897	1	-36080.8	0	0	3273.06	10494.5	0	8587.98	8969.74	57629.1	20053.3	0	4345.75	386.607	13272.8
99000	99	3.60555	50703	1	-35711.6	0	0	3449.31	10897	0	8517.05	8882.24	57445.5	19671.8	0	4445.53	402.328	13082.3
100000	100	3.50946	49351.7	1	-35828.4	0	0	3514.87	10315.7	0	8454.55	8665.25	57399.6	20082.2	0	4401.92	456.649	13490.1
