step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
1000	1	3.52783	39688	-35720.7	14036.8	17438.7	77745.8	478.376	17481.9	17.9957
2000	2	3.49859	39359.1	-35676.1	14098.8	17274.9	77808.2	414.596	17565.7	6.84357
3000	3	3.48973	39259.4	-35859.7	14053.7	16987.8	78321	436.865	17321.4	17.4027
4000	4	3.54791	39914	-36045.3	14138.3	17584.1	77761.3	399.815	17368.9	-0.24766
5000	5	3.49079	39271.4	-35897.9	14197.2	17868.4	77542.8	412.886	17313.6	-7.89269
6000	6	3.51934	39592.6	-36104.8	14319.6	17142.9	78069.6	408.064	17293	10.5802
7000	7	3.50195	39397	-35926.2	14160	17126.8	78127.8	445.989	17367.4	-1.94929
8000	8	3.5122	39512.3	-35638.5	14066	18051.3	77498.9	359.921	17346.3	0.671125
9000	9	3.51076	39496.1	-35805.9	14495.7	17440.5	78107.8	417.547	17347.9	-16.652
10000	10	3.53198	39734.7	-35893.9	14381.7	17091.3	77936.3	371.573	17629.2	15.0899
11000	11	3.49727	39344.3	-35732.7	14261.4	17340.8	78067.3	348.551	17164.7	0.950453
12000	12	3.54256	39853.8	-35831.1	14095	17115.4	78039	461.92	17407	22.0953
13000	13	3.51284	39519.4	-35701.1	14446.5	17516.3	77901.7	424.535	17353.1	-17.7827
14000	14	3.55634	40008.8	-35994.6	14091.8	17176.8	78153.7	343.33	17390.1	1.62154
15000	15	3.52587	39666	-36158.4	14276.2	17525.3	77923	412.925	17379.6	-0.617033
16000	16	3.52399	39644.9	-35945.7	14007.7	17208.9	78540.5	383.104	17186.3	-16.9117
17000	17	3.5414	39840.7	-35766.2	14264.8	17762.4	77547	423.731	17463.6	-5.13077
18000	18	3.50401	39420.1	-35812.4	14478.1	16790.8	78384.6	353.4	17260.4	-31.8389
19000	19	3.43886	38687.2	-35878.6	13754.6	17307.4	78508.6	438.765	17330.9	19.8246
20000	20	3.46948	39031.7	-35876.4	14476.8	16996.6	78200.3	365.66	17333.8	-26.6018
21000	21	3.53902	39814	-35933.2	13753	17105.8	77901.4	419.495	17766.9	32.182
22000	22	3.51106	39499.4	-35741.7	14504.5	17166.4	78189.5	408.013	17288.1	18.574
23000	23	3.49761	39348.2	-35675.5	14183.4	17295.7	77351.2	436.441	17892.7	1.86122
24000	24	3.54905	39926.8	-35811.5	14061.2	17753.3	77426.6	425.3	17402	-22.932
25000	25	3.54862	39922	-35958.4	13769.2	17651.9	77627.7	459.153	17596.8	-2.33972
26000	26	3.50468	39427.7	-35788.2	13855.3	17264.1	77432.1	380.162	17624.3	1.31451
27000	27	3.52665	39674.8	-35786.6	14081.9	17330.8	77433.1	464.542	17992.7	10.8705
28000	28	3.44561	38763.1	-35719.2	14153.3	17792.6	77545.6	375.402	17538.2	-7.85659
29000	29	3.45304	38846.7	-36061.6	14053.9	17137.2	77532.4	392.855	17678.5	7.4662
30000	30	3.47275	39068.4	-35952.3	14006.8	17262	77731.3	392.828	17375.8	-32.3203
31000	31	3.49966	39371.1	-35975.1	14330.1	17238.9	77542.5	380.541	17373.3	-72.9749
32000	32	3.515	39543.7	-36011.7	14264.7	17879.9	77273.7	356.735	17755.7	15.1297
33000	33	3.48722	39231.2	-35950.9	14036.4	17708.5	77538.4	374.052	17635.3	-5.89902
