step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
1000	1	3.46798	39014.7	-36005	13909.8	17244.3	77092.2	493.636	17920.9	1.93519
2000	2	3.52148	39616.6	-35909.6	14131.5	17384.9	77338.3	358.87	17569.3	-6.87108
3000	3	3.54669	39900.3	-35741.8	14209.8	17527.2	77649.7	448.077	17393.2	-1.02974
4000	4	3.49544	39323.7	-35989.3	14395.1	17326.3	77681.8	326.721	17850.5	-4.75795
5000	5	3.52325	39636.6	-35719.4	14257	17675.3	76939.6	407.627	17772.3	30.7511
6000	6	3.4745	39088.1	-35795	14213	17580.8	77090.3	386.319	17735.4	-10.2148
7000	7	3.55405	39983.1	-36086.2	14360.1	17549.1	77780.9	405.64	17533.9	8.11214
8000	8	3.5555	39999.4	-36068.8	14210.3	17472.5	77855	447.287	17363.1	-17.9222
9000	9	3.48495	39205.7	-35968.6	14098.7	17178.8	77869.8	432.529	17226.5	-14.1794
10000	10	3.51785	39575.8	-35894.8	14318	17260.6	77477.7	409.362	17768.1	-23.8504
11000	11	3.58341	40313.4	-35782.2	14294.8	17310	77464.9	356.258	17847.9	9.25608
12000	12	3.48377	39192.4	-35810.4	14051.2	16879	78245.5	373.784	17325.5	-33.4183
13000	13	3.56528	40109.4	-35796.9	14062.6	17402.2	77455	422.384	17756.4	-0.0458623
14000	14	3.55923	40041.3	-35862.3	14318	17469.7	77426.5	345.127	17555.8	-14.9954
15000	15	3.53759	39797.9	-35869.4	14029.6	17636.1	77730.7	397.745	17225.1	16.0089
16000	16	3.5384	39807	-35838.3	13944.7	16941.6	78360.2	449.834	17484.7	36.7523
17000	17	3.48654	39223.5	-35975.1	14234.8	17547.4	77208.5	366.461	17527	-9.35234
18000	18	3.5683	40143.3	-35990.9	14269.1	17485.2	77527.9	415.895	17620.8	2.2232
19000	19	3.5649	40105.1	-36238.9	14536	17353	77436.4	409.398	17876.8	-17.4888
20000	20	3.48319	39185.9	-35894.1	14678.5	17179.1	77008.1	476.303	18190.8	20.3453
21000	21	3.50849	39470.5	-35605.5	14400.9	17504	77055.2	399.887	17382.1	-37.8259
22000	22	3.54492	39880.4	-35821.9	14284.6	17674.5	77246.5	431.028	17253.6	-27.8058
23000	23	3.51255	39516.2	-35826.5	14257.2	17732.8	77725.5	380.156	17609.3	-6.12225
24000	24	3.58425	40322.9	-35932.2	14029.2	17573	77263.9	379.512	17846.3	3.44549
25000	25	3.50984	39485.7	-36167.5	14284.6	17504.7	77425	385.523	17547.3	-20.8151
26000	26	3.52535	39660.2	-35976.2	14195.7	17602.3	77427.3	370.498	17757.1	7.26556
27000	27	3.52467	39652.5	-35758.2	14523.9	17189.8	77391.1	372.121	17681.7	-23.3956
28000	28	3.53179	39732.7	-35906.7	14052.2	17764.6	77302.5	431.667	17880.2	38.4072
29000	29	3.52014	39601.6	-35938.9	14163.5	17291	77128.7	428.724	17799.4	-0.120351
30000	30	3.53205	39735.6	-36189.6	14194.6	17281.8	77462.3	419.243	17808.7	10.5393
31000	31	3.52444	39650	-35987.9	14108.7	16982.5	77648	430.479	17505.4	-20.5987
32000	32	3.54872	39923.1	-36151.9	14225	17234.1	78224.1	389.478	17273.5	-14.5614
33000	33	3.49618	39332	-35904.4	14072.9	17733.7	77953	399.214	17239.1	-13.3164
34000	34	3.49967	39371.3	-35861.6	14188.7	17260	77403.1	421.897	17972.3	21.3966
35000	35	3.49051	39268.2	-36094.5	14345.3	17156.4	77523.4	407.384	17345.3	-39.8323
36000	36	3.47516	39095.5	-35712.5	14224.4	17367.3	77686.9	420.569	17822.4	15.7564
37000	37	3.54018	39827	-35948.6	14100.4	17473.4	77580.8	379.7	17633.3	13.8829
38000	38	3.5669	40127.6	-35808.4	14360.3	17587.5	77532.6	413.662	17520.6	-17.2083
39000	39	3.53582	39777.9	-35845.3	13977.7	17390.3	77423.7	454.616	17617.6	13.748
40000	40	3.53519	39770.8	-35734.7	14364.3	16951.2	77296.7	388.389	17727.5	5.03256
41000	41	3.52065	39607.3	-35741.9	14261.7	17433.5	76874.3	418.216	17870.6	-4.18878
42000	42	3.49529	39322	-35892.5	14198.5	17486.4	77264.6	396.823	17563.5	23.6524
43000	43	3.51801	39577.6	-35721	14379.1	17509.8	77460.9	341.31	17614.2	-26.9384
44000	44	3.52014	39601.6	-36137.3	14140.9	18349.2	76992	394.123	17536	4.58795
45000	45	3.50649	39448	-36079.4	14375.1	17585.2	77272.7	407.732	17654.1	8.85028
46000	46	3.52243	39627.3	-35905.8	14114.5	17403.9	77536.7	378.389	17513.5	-4.13056
47000	47	3.51237	39514.2	-36034.9	13788.4	17742.8	77270.9	430.463	17945.5	33.7593
48000	48	3.49067	39270.1	-35951	14855.8	17205.9	77608.2	389.153	17458.6	-34.5056
49000	49	3.50959	39482.9	-35890	14012	17621.8	77530.1	370.201	17673.9	25.1377
50000	50	3.53434	39761.4	-35771.4	14010.9	17534.7	77392.8	427.259	17667.2	4.44942
51000	51	3.51985	39598.3	-35831.3	14170.9	17523.2	77413	431.687	17525.4	-6.47084
52000	52	3.55996	40049.6	-35767.2	14267.7	17792.1	76883.8	374.944	17877	-17.4808
53000	53	3.49344	39301.2	-35741.5	13979	17630.6	77478.6	370.189	17740.5	26.8586
