step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
1000	1	3.54387	39868.6	-35754.7	13972.3	17294.1	77516.3	431.012	17557.3	4.47223
2000	2	3.52395	39644.4	-35832.9	14320.7	17350	77599.3	401.632	17694.1	24.2945
3000	3	3.53549	39774.3	-35839.7	14013.9	17546.7	76872.6	410.92	17839.3	6.05759
4000	4	3.50355	39414.9	-36042	14111.6	17455.1	77220.1	417.583	17846.1	-5.3056
5000	5	3.55252	39965.9	-35785.8	14069.7	17697.2	77166.7	422.7	17482.1	-6.19521
6000	6	3.48395	39194.4	-35932.1	13782.1	17573	77547.2	442.267	17468.4	11.2021
7000	7	3.59957	40495.1	-35812.9	13983.9	17259.2	77368.8	505.965	17462.7	19.9863
8000	8	3.51856	39583.8	-35770	14208	17416.4	77384.6	409.259	17642.1	-14.3371
9000	9	3.58447	40325.3	-35806.3	14051.5	17713	77541.1	380.282	17406.3	-21.3056
10000	10	3.47276	39068.6	-35697.1	13829.4	17295.6	77565.9	482.428	17397	20.7833
11000	11	3.49782	39350.4	-35967.3	14136.4	17366.8	77868.9	379.018	17668.3	12.3984
12000	12	3.52126	39614.2	-35782.4	14437	16971.3	77756.7	370.848	17718.9	10.3935
13000	13	3.49147	39279	-35932.4	14011.8	16886.7	77631.6	415.114	17633.3	4.11873
14000	14	3.50939	39480.6	-35642.9	14455.3	17148	77310.1	483.382	17534.4	-4.49891
15000	15	3.47816	39129.3	-35749.5	14263.8	17459.5	77228.2	401.047	17546.1	-40.9187
16000	16	3.53288	39744.9	-36048.8	14474.3	17236.4	77410.7	450.189	17551.6	-19.7421
17000	17	3.53082	39721.7	-35638.4	14221.8	17275.5	77242.8	415.766	17697.1	-10.9262
18000	18	3.52438	39649.3	-36089.3	14555.6	17530.3	77856.8	422.006	17390.1	-21.3695
19000	19	3.47549	39099.3	-35759.4	14423.5	17369.4	77078	384.837	17771.8	14.5063
20000	20	3.54496	39880.7	-35977.8	14366.1	17619.5	77598.8	481.423	17320.5	-21.1649
21000	21	3.48845	39245.1	-35837.6	14017.5	17536.5	77328.9	442.533	17684.2	26.8315
22000	22	3.52954	39707.3	-35765.8	14397.7	17165.1	77768.5	398.825	17711.5	21.264
23000	23	3.51724	39569	-35792.2	14036.2	17809.3	77609.9	437.272	17291.4	6.77158
24000	24	3.47597	39104.7	-35956.8	14171.2	17462.1	77868.2	352.23	17275.8	-14.6324
25000	25	3.49037	39266.7	-35658.2	13844.2	17491.4	77898.1	388.501	17315.3	16.0768
26000	26	3.53908	39814.6	-35887	14332.9	17611.5	77486	472.806	17337.7	20.6837
27000	27	3.56425	40097.8	-35830.6	14064.3	17435.7	77749.3	399.295	17469.8	-33.1393
28000	28	3.53506	39769.5	-36035.3	14336.1	17898.6	77528.9	500.609	17658.2	-3.79118
29000	29	3.47629	39108.2	-36075.5	14340.6	17561.4	77407.5	449.824	17720	-23.7204
30000	30	3.51886	39587.1	-35865.7	14073	17454.1	77456.3	462.079	17319.7	-6.39155
31000	31	3.53978	39822.5	-35906.5	13754.7	17572.8	77480.9	412.383	17722	-2.98675
32000	32	3.55279	39968.9	-35852.2	14262.8	17172.9	77495.2	414.959	17488.6	-7.99361
33000	33	3.49967	39371.3	-35995.2	13859.3	17406.8	77556.7	371.678	17646.5	13.3535
34000	34	3.49146	39279	-36024.6	14409.4	17468.5	77494.6	394.103	17263.2	-34.2723
35000	35	3.53695	39790.7	-35788.6	14075.7	17618.8	77320.7	374.641	17811.3	39.3978
36000	36	3.51705	39566.8	-35815.6	14083.4	17505	76740.2	460.798	18001.5	5.87883
37000	37	3.48057	39156.4	-35818.6	14289.7	17241.8	77595.5	335.609	17391	-7.49852
38000	38	3.52519	39658.4	-35717.6	14097.5	17474.9	76946.5	411.472	17903.7	36.3043
39000	39	3.55053	39943.5	-35890.4	14119.4	17265.5	77294	470.439	17779	38.8441
40000	40	3.52736	39682.8	-35914.1	13846.8	17512.8	77906.2	488.399	17401.7	7.4477
41000	41	3.48232	39176.1	-36072.8	14161.5	17481.1	77686	481.979	17522.1	-52.4528
42000	42	3.51678	39563.8	-35981.8	14479.6	17756.9	76988.9	396.424	17891.5	-17.2594
43000	43	3.47975	39147.2	-35868.8	13933.5	17020.2	77367.8	326.359	18002.8	8.30763
44000	44	3.51506	39544.4	-35982.3	14357.4	16716.5	77748.3	450.584	17982.2	13.7017
45000	45	3.51649	39560.5	-36010	13780.8	17807.3	77454.2	374.601	17753.7	1.82059
46000	46	3.53011	39713.8	-35961	13919.9	17658.9	77147.2	496.314	17554.6	22.6383
47000	47	3.47664	39112.2	-35955.3	14096.4	17509.3	77798.6	360.489	17533.8	-26.6652
48000	48	3.56095	40060.7	-35837.5	14406.5	17287.9	78027.7	389.145	17497.1	7.09024
49000	49	3.47249	39065.5	-36070.5	14306.1	17879	77730.5	443.65	17296.9	-2.48123
50000	50	3.53255	39741.2	-35847.4	14088.9	17527.6	77575.3	440.248	17721.2	4.15206
51000	51	3.51538	39548	-35740.3	13999.9	17623.2	76871.6	437.201	17884	31.5712
52000	52	3.49814	39354.1	-35952.9	14779.8	17194.8	77939.5	391.246	17645.4	24.6158
53000	53	3.47887	39137.2	-35876.5	14303.4	17561	77582	365.606	17493.7	13.5802
54000	54	3.51375	39529.7	-36133.9	14423	17524.7	78085.2	372.705	17521.6	-10.4482
55000	55	3.53578	39777.6	-36234	14315.2	17495.9	77702	426.566	17357.5	-0.551643
56000	56	3.43941	38693.4	-36113.4	14462.4	16819.4	77676.9	439.318	17870.1	-10.0453
57000	57	3.54914	39927.9	-35926.2	14173.4	17516.9	77537.7	383.031	17503.3	-20.3547
58000	58	3.46379	38967.6	-35649.8	14455.8	17813.4	77500.7	477.411	17405.2	-15.6465
59000	59	3.50168	39393.9	-35839	13638.1	17675.9	76742.8	395.138	17890.8	32.7428
60000	60	3.49002	39262.7	-35844.2	13922.4	17904.1	76998.7	515.956	17664.3	-0.960348
61000	61	3.57295	40195.7	-36055.4	14977.5	17559.3	77484.2	372.669	17525.3	-39.7565
62000	62	3.51507	39544.6	-36051.5	13887.7	16845	77782.6	374.662	17720.8	4.94226
63000	63	3.49363	39303.3	-36054.2	13931.4	16914.5	77908.1	404.751	17445.2	-12.6125
64000	64	3.52911	39702.4	-36111.3	14267.1	17666.9	77425.9	443.349	17555.2	-20.8583
65000	65	3.53429	39760.7	-35754.3	13767.6	17310.5	77404.6	484.188	17629	9.54821
66000	66	3.55222	39962.5	-35762.5	14166.4	17430.5	77831.7	419.438	17325.2	32.556
67000	67	3.52426	39647.9	-35717.8	14039.2	16997	77596.4	407.765	17951.6	3.77407
68000	68	3.5235	39639.4	-35853.8	14263.5	17657.7	77221.7	409.536	17485	-10.0908
69000	69	3.51909	39589.8	-36009.1	14091.9	17231.3	77583.8	392.379	17690.6	-23.9829
70000	70	3.52676	39676.1	-35969.9	13751.2	17531.5	77300.6	463.986	17395.5	-11.9859
71000	71	3.50526	39434.2	-36148.3	14140.1	17395.9	77228.7	392.671	17531.5	-26.2566
72000	72	3.48682	39226.7	-35771.1	14268.7	17338.9	77213	422.973	17981.5	1.77492
73000	73	3.48398	39194.8	-35847	13715.9	17528.5	77473.1	453.387	17609	-0.702558
74000	74	3.47789	39126.3	-36101.3	14347.8	17536.9	77715.2	487.56	17220.3	-27.4635
75000	75	3.46246	38952.6	-35706.3	13839.2	17560.5	77683.4	424.945	17264	23.2778
76000	76	3.52563	39663.4	-35997.4	13630.8	17118.5	78033.5	437.91	17275.5	29.7889
77000	77	3.44772	38786.9	-36009.3	14180.3	17456.6	77719.4	344.968	17208.2	-5.78564
78000	78	3.55803	40027.8	-35526.1	14157	17132.3	77374.4	474.458	17470.7	-2.40128
79000	79	3.51997	39599.6	-35810	14401.5	17098.9	77528.4	423.991	17688.7	-41.5039
