step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
1000	1	3.53701	39791.4	-35794.9	14010.6	17241.8	77187.6	408.83	17681.2	-7.14976
2000	2	3.5181	39578.6	-35926.8	14146.9	17305.9	77831.2	463.5	17449.7	-9.25174
3000	3	3.4865	39223.1	-35903.1	14114.3	17159.8	77750.8	449.57	17606.3	11.4082
4000	4	3.44474	38753.3	-36046.4	14281.7	17414.4	77384.7	424.384	17373.9	-2.22756
5000	5	3.53133	39727.4	-35832	14076.8	17244.7	76470.2	412.848	17840.5	-7.50602
6000	6	3.5163	39558.3	-35861.2	14042.7	17561.1	76996.4	354.494	17859.7	9.68808
7000	7	3.5184	39582	-35896.4	14070	17458.7	77624.5	390.692	17734.9	16.897
8000	8	3.52515	39657.9	-35874.8	14137.7	17137.6	77765.4	409.169	17572.8	18.2238
9000	9	3.54867	39922.5	-35716.2	14382.3	17234	77614.6	432.054	17896.9	29.3694
10000	10	3.47779	39125.1	-36025.8	13564.1	17667.8	77513.8	379.002	17854.4	32.7055
11000	11	3.52379	39642.6	-36043.8	14104.7	17579.7	77441.5	407.897	17543.1	-12.9423
12000	12	3.58722	40356.3	-35670.5	14003.7	16944.7	78068.6	423.815	17344.2	20.0918
13000	13	3.52507	39657.1	-36012.4	14162.5	17701.1	77505.8	418.1	17439.9	-5.30415
14000	14	3.50394	39419.4	-35780.6	14097.6	17063.9	77805.4	428.716	17666.4	-7.00174
15000	15	3.50791	39463.9	-35940.3	13972.6	17266.6	77993.5	357.249	17717.8	33.4963
16000	16	3.42199	38497.4	-35995.3	14201.7	17119.6	77713.7	425.411	17690.4	22.5327
17000	17	3.50229	39400.7	-35864.2	14383	17232.6	77924.9	380.72	17566.2	-11.3666
18000	18	3.52596	39667.1	-35924.7	14070.8	17381.4	77805.4	380.47	17247.1	-16.4329
19000	19	3.58648	40347.9	-35970.5	14430.3	16915.4	77591.1	385.37	17511.3	-15.5113
20000	20	3.52181	39620.3	-35988.4	14002.8	17644.2	77454.4	423.816	17756.5	12.7759
21000	21	3.50648	39447.9	-35915.4	14173.6	17854.3	77695.1	392.621	17604.2	16.2996
22000	22	3.50136	39390.3	-35893.7	13683.4	17055.5	77924.1	440.559	17439	-18.219
23000	23	3.53148	39729.2	-35743	13731.1	17114.2	77587.2	336.653	17730.4	42.0106
24000	24	3.54888	39924.9	-36114.5	14255.8	17431.1	77462.9	420.19	17373.4	-45.2624
25000	25	3.51105	39499.3	-35972.3	14106.2	17555.4	77472.9	419.704	17309.2	18.9214
26000	26	3.53843	39807.3	-35919.2	13974.4	17173.6	77377.1	404.913	17936.6	28.0656
27000	27	3.52602	39667.7	-35905.4	14159	16950.5	77774.3	417.999	17670.1	19.2278
28000	28	3.51881	39586.7	-35510	14366.3	17255.8	77447.5	421.726	17604.6	0.641681
29000	29	3.52373	39641.9	-35739.1	14006.6	17399.4	77408	411.362	17464.4	3.06561
30000	30	3.52905	39701.8	-35778.8	14327.2	17777.5	77067	413	17706.3	-9.22456
31000	31	3.48332	39187.4	-36058.6	13889.4	17364.1	77328.8	380.207	17924.7	0.137293
32000	32	3.54783	39913.1	-36124.8	14121.8	17563.3	77749	414.424	17441	-25.6261
33000	33	3.5234	39638.2	-35879.2	14696.3	17764.6	77475.9	462.386	17572	-11.8917
34000	34	3.53835	39806.4	-35941.8	14242	17021.7	77496	409.905	17608.5	-40.1606
35000	35	3.50886	39474.7	-35934.3	14414.1	17652.6	76814.9	432.163	17708.8	-26.6837
36000	36	3.55423	39985.1	-35803.4	14345.8	17515	77050.9	442.969	17780.6	-48.2436
37000	37	3.47172	39056.9	-35948.5	14463.7	17827.1	77255.9	374.318	17470.9	-18.8536
