     step      A-A            B-B            A-B            
       0       None           None           None           
       1       0.412          0.5302         0.3259         
       2       0.2086         0.5344         0.3148         
       3       0.168          0.05109        0.2922         
       4       0.2075         0.04306        0.06149        
       5       0.1132         0.0428         0.06506        
       6       0.115          0.01298        0.06219        
       7       0.1486         0.01326        0.01679        
       8       0.07864        0.01387        0.01976        
       9       0.08072        0.00795        0.01869        
      10       0.09618        0.008773       0.006453       
      11       0.05279        0.008554       0.007551       
      12       0.05409        0.004636       0.007404       
      13       0.06179        0.005469       0.002755       
      14       0.03231        0.005441       0.004228       
      15       0.03426        0.002935       0.003718       
      16       0.03797        0.003279       0.0014         
      17       0.02186        0.003304       0.002134       
      18       0.02319        0.002282       0.002232       
      19       0.02497        0.002405       0.001011       
      20       0.01416        0.002624       0.001342       
      21       0.0147         0.001566       0.001374       
      22       0.01727        0.001556       0.0006581      
      23       0.009993       0.001861       0.0009031      
      24       0.01091        0.0009242      0.0009459      
      25       0.01092        0.001239       0.0004796      
      26       0.007359       0.001259       0.0006958      
      27       0.007222       0.0008267      0.0007679      
      28       0.008545       0.0009002      0.0003504      
      29       0.005224       0.000971       0.0005542      
      30       0.005566       0.0006529      0.0005809      
      31       0.005931       0.0007398      0.0002925      
      32       0.004337       0.0008445      0.0004661      
      33       0.003584       0.000757       0.0005128      
      34       0.005166       0.0006544      0.0002384      
      35       0.003065       0.0006977      0.0003945      
      36       0.003758       0.000423       0.0003551      
      37       0.003676       0.0005658      0.0002223      
      38       0.002407       0.0006071      0.0003125      
      39       0.002699       0.0003807      0.0003075      
      40       0.002922       0.0004546      0.0002447      
      41       0.002029       0.0005144      0.0002596      
      42       0.001973       0.0004119      0.0004001      
      43       0.002523       0.0004695      0.0001668      
      44       0.001765       0.000439       0.0002128      
      45       0.001702       0.0003168      0.00027        
      46       0.002024       0.0003644      0.0001463      
      47       0.001469       0.0004142      0.0002046      
      48       0.001595       0.0003725      0.0002392      
      49       0.001855       0.0003353      0.0001447      
      50       0.001194       0.0004719      0.0002048      
      51       0.001318       0.0002852      0.0001908      
      52       0.001472       0.0003422      0.0001263      
      53       0.000983       0.0003783      0.0001416      
      54       0.001202       0.0002653      0.0002046      
      55       0.001421       0.000334       0.0001189      
      56       0.000878       0.0003382      0.0001788      
      57       0.001019       0.0002267      0.0001807      
      58       0.001027       0.0002843      0.0001165      
      59       0.0009013      0.0002875      0.0001158      
      60       0.0009012      0.0002903      0.00016        
      61       0.001087       0.0002889      9.907e-05      
      62       0.0007669      0.0002731      0.0001092      
      63       0.0008577      0.0003201      0.0001445      
      64       0.0007755      0.0003316      0.0001028      
      65       0.0007962      0.0003091      9.696e-05      
      66       0.0007297      0.0002076      0.0001179      
      67       0.0007981      0.0002489      9.884e-05      
      68       0.0004682      0.0003158      0.0001259      
