step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
1000	1	3.47745	39121.3	-35531.8	14233.3	17573	77047.7	515.171	17762.3	-9.64561
2000	2	3.54057	39831.4	-35991.4	14077.5	17352.2	77150	439.338	17524.2	-5.55829
3000	3	3.46871	39023	-36042.5	14025.6	17335	77220.4	394.314	17848	27.3793
4000	4	3.58446	40325.2	-36021.2	14453.8	17146.9	77678.8	413.034	17684.2	-9.71884
5000	5	3.52078	39608.7	-36020.8	14107.4	17745.3	77970.5	402.458	17409.3	7.28277
6000	6	3.54301	39858.9	-35816.5	14221.9	17155.1	77642	447.846	17814	28.6202
7000	7	3.54243	39852.3	-35943.5	14186.5	17369.3	77695	479.065	17429.2	8.0886
8000	8	3.55773	40024.5	-35764.5	14032.8	17310.4	77819.4	397.626	17733	1.76849
9000	9	3.49948	39369.2	-35915.4	14042	16850.4	77756.1	398.98	17669.5	1.12613
10000	10	3.55358	39977.8	-35835.8	14169.9	17291.4	77675.8	496.644	17519.2	-37.4119
11000	11	3.55187	39958.6	-35894	14446.8	17405.6	77931	400.391	17208.9	-33.4315
12000	12	3.55117	39950.7	-35706.7	13837.7	17660	77373.6	429.612	17715.8	14.3541
13000	13	3.51727	39569.3	-35652.2	14108.4	17684.5	77011.1	457.618	17734.9	4.51931
14000	14	3.4886	39246.8	-35681.2	13973.2	17673.5	76913.2	435.363	17660.4	-0.630962
15000	15	3.47545	39098.8	-35939	14562.4	17548.3	76731.2	403.225	18144	-10.7468
16000	16	3.5272	39681.1	-35665.2	14032	17257.2	77073.7	436.882	17851.1	-11.2608
17000	17	3.51275	39518.4	-35639.9	14388.1	17547.7	77090	411.671	17694.3	-34.5898
18000	18	3.48913	39252.7	-35870.6	13948	17684.6	77377.2	377.391	17685.7	46.0345
19000	19	3.50754	39459.8	-35840.9	14258.8	17402.6	77777.6	374.637	17626.5	17.575
20000	20	3.53115	39725.5	-36061.9	14312.1	17182.2	77970	448.362	17522.3	-1.9157
21000	21	3.52857	39696.4	-36057.1	13963.3	17441.1	77804	443.946	17387.4	0.159885
22000	22	3.51163	39505.9	-35951.3	14157.9	17494.1	77973.8	402.826	17389.8	0.17264
23000	23	3.5329	39745.1	-35746.9	14214.8	17419.1	77778.4	395.025	17410.2	11.2956
24000	24	3.55432	39986.1	-36030.2	14019.8	16715.5	77480	477.672	17977.5	14.0798
25000	25	3.48155	39167.5	-36073.4	14195.5	17735.6	77246.5	404.581	17633.9	-33.2518
26000	26	3.48638	39221.7	-36059.4	14392.6	17801	77437.5	398.071	17300.6	-43.4461
27000	27	3.48261	39179.4	-35827.6	14077.8	17729.2	77680.1	424.482	17511	-18.3665
28000	28	3.55483	39991.8	-36041.4	14324.5	17531.4	77468.9	379.162	17623.1	7.63923
29000	29	3.53548	39774.2	-36288.7	13742.8	17314.7	77747.4	344.143	17537.6	19.3293
30000	30	3.58752	40359.6	-35838.3	13851.1	17698.9	77564.1	359.955	17237.9	7.92223
31000	31	3.57003	40162.8	-35896.4	13918.2	17282.8	77928.6	448.111	17598	31.9082
32000	32	3.51733	39570	-35857.1	14293.1	16974.3	77336.9	435.489	17511.4	-10.7599
33000	33	3.50066	39382.4	-35789.3	13777.8	17687.9	77560.6	443.297	17367.7	13.464
34000	34	3.52091	39610.2	-35769.9	14486	17268.2	77296.5	310.42	17766	-8.5062
35000	35	3.5422	39849.8	-35775.7	14232.6	17471.2	77382.4	447.314	17495.5	3.59335
36000	36	3.49101	39273.8	-35823.4	13828.1	17313.8	77139.5	465.507	17399.1	3.37073
37000	37	3.53488	39767.4	-36038.8	14425.9	17192.3	77603.6	355.018	17295.5	-34.0795
38000	38	3.53023	39715.1	-35913.8	13793	17243.8	77181	318.996	17955.6	8.12819
39000	39	3.55538	39998	-35913.9	14355	17805	77225.2	401.236	17669.5	-9.89233
40000	40	3.46576	38989.8	-35791.2	14147.9	16864.2	77196.3	331.827	18043.8	15.9775
41000	41	3.56651	40123.2	-35890.3	14147.9	17355.2	77498.9	443.684	17680.1	15.7634
42000	42	3.51538	39548.1	-35932	14170.1	17904.6	76999.8	421.706	17471.4	-18.4927
43000	43	3.51749	39571.7	-35904.8	14456.6	17229.4	77388.2	432.716	17397	-14.4954
44000	44	3.53712	39792.6	-36007	14039	17837.6	77588.8	415.957	17235.9	13.8737
45000	45	3.51984	39598.2	-35731.5	14065.9	17225.7	77416.5	442.777	17476.9	-12.3595
46000	46	3.54897	39926	-35744.5	14412.5	16594.4	78093.9	314.295	17592.4	1.98993
47000	47	3.50973	39484.5	-35801.1	14074.8	16878.7	77681.2	408.334	17956.6	23.8258
48000	48	3.5614	40065.7	-35878.4	14305.9	17625.4	77556.2	470.37	17514.8	-3.1176
49000	49	3.54576	39889.8	-35962.4	14056.4	17392	77860.1	483.913	17415.4	3.44502
50000	50	3.52627	39670.5	-36006.7	13978.6	16884.7	78042	416.717	17042.3	-60.5437
51000	51	3.55077	39946.1	-35856.3	14117.3	17954.4	77096.6	406.611	17463.9	15.1933
52000	52	3.4989	39362.6	-36035.7	13891.2	17206.5	77804.4	345.078	17775.3	20.3896
53000	53	3.56815	40141.7	-35913.9	14422.4	17611.4	77715.2	398.287	17913.6	3.51975
54000	54	3.52701	39678.9	-35737	14426.7	17374.9	77152.2	397.338	17830	10.9982
